n,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,10.1794,8066.207,7.2,616.405,1486.916,2111.095,10178.221,21166894.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,10.4233,8274.671,8.047,625.588,1512.374,2146.588,10422.163,21469806.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,10.6135,8430.87,8.067,636.306,1535.617,2180.572,10612.334,21835286.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,10.6256,8421.807,8.137,642.223,1550.343,2201.3,10624.465,22042138.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,10.6069,8396.147,8.139,643.948,1556.017,2208.714,10605.789,22085570.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,10.5789,8386.684,8.078,638.238,1543.21,2190.12,10577.748,21883826.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,10.5242,8352.011,8.013,630.683,1530.891,2170.191,10523.152,21663044.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,10.4511,8295.658,7.939,626.578,1518.407,2153.512,10450.07,21463420.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,10.4343,8298.979,7.962,619.579,1505.206,2133.341,10433.258,21241742.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,10.5169,8395.058,7.97,614.758,1496.471,2119.803,10515.808,21088900.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.1,10.5125,8390.214,7.966,614.982,1496.747,2120.3,10511.433,21056964.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.11,10.5637,8437.017,7.936,617.011,1499.217,2124.771,10562.698,21098592.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.12,10.5688,8432.278,7.967,617.339,1508.69,2134.613,10567.795,21163780.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.13,10.646,8503.888,7.934,620.172,1510.98,2139.715,10645.011,21214342.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.14,10.7179,8577.06,8.032,620.973,1509.273,2138.904,10716.882,21223828.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.15,10.6782,8539.69,7.953,621.094,1506.923,2136.6,10677.231,21201458.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.16,10.7825,8651.036,7.968,617.229,1503.756,2129.596,10781.572,21147030.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.17,10.7704,8646.336,7.949,615.381,1498.198,2122.18,10769.444,21049560.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.18,10.8056,8695.122,7.892,609.286,1490.785,2108.601,10804.655,20911460.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.19,10.8003,8700.743,7.865,607.143,1482.112,2097.744,10799.397,20747942.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.2,10.7525,8674.225,7.887,602.016,1465.806,2076.35,10751.524,20568022.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.21,10.704,8638.585,7.794,597.034,1458.133,2063.598,10703.132,20385242.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.22,10.7864,8741.083,7.79,592.589,1442.497,2043.506,10785.517,20206878.0,2579.99,
