n,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,2.5531,354.274,10.548,636.491,1549.711,2197.49,2552.868,21166894.0,2579.99,
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,2.6016,372.197,11.909,659.744,1555.691,2228.101,2601.295,21469804.0,2579.99,
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,2.6433,366.16,12.02,669.724,1593.262,2275.77,2642.912,21835288.0,2579.99,
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,2.6724,376.94,12.212,673.402,1607.738,2294.136,2672.094,22042148.0,2579.99,
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,2.6922,383.938,12.104,674.783,1619.307,2306.957,2691.863,22085562.0,2579.99,
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,2.6641,391.959,11.763,669.89,1588.37,2270.782,2663.725,21883830.0,2579.99,
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,2.6693,366.005,11.744,700.483,1588.933,2301.992,2668.971,21663046.0,2579.99,
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,2.6113,375.504,11.8,664.201,1557.143,2233.896,2610.899,21463432.0,2579.99,
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,2.5957,366.933,11.965,659.379,1555.183,2227.366,2595.312,21241750.0,2579.99,
1047968,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,2.581,381.705,11.808,651.617,1533.764,2197.94,2580.666,21088906.0,2579.99,
