n,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,21.0202,16959.053,20.322,1251.638,2778.577,4053.42,21019.844,21166894.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,21.5359,17410.959,23.483,1269.124,2817.462,4112.94,21531.096,21469806.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,21.9332,17742.752,23.523,1290.634,2861.397,4178.439,21928.387,21835288.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,21.9534,17725.199,23.551,1303.458,2886.302,4216.196,21948.592,22042136.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,21.9074,17671.875,23.557,1304.802,2892.242,4223.486,21902.557,22085570.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,21.7117,17646.637,23.527,1293.419,2733.21,4053.04,21706.863,21883826.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,21.7532,17765.807,23.454,1109.025,2840.048,3975.408,21748.402,21663048.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,21.4882,17367.25,23.412,1268.625,2814.055,4108.964,21483.41,21463420.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,21.5455,17463.809,23.399,1255.704,2787.735,4069.71,21540.707,21241744.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,21.7259,17671.285,23.401,1246.909,2769.431,4042.595,21721.072,21088898.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.1,21.7145,17666.449,23.429,1244.421,2768.916,4039.629,21714.152,21056964.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.11,21.8254,17762.873,23.365,1247.072,2777.251,4050.558,21820.621,21098588.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.12,21.8134,17749.301,23.398,1251.098,2778.764,4053.941,21808.576,21163784.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.13,21.8596,17918.111,23.385,1254.305,2655.271,3935.823,21858.965,21214344.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.14,22.0301,17956.9,23.267,1248.453,2786.72,4061.306,22025.389,21223826.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.15,21.9551,17873.84,23.358,1255.315,2787.705,4069.272,21950.303,21201458.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.16,22.1756,18107.295,23.326,1251.111,2779.026,4056.319,22170.805,21147024.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.17,22.1484,18099.842,23.343,1245.846,2764.533,4036.587,22143.619,21049556.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.18,22.2193,18199.189,23.242,1237.692,2744.283,4008.07,22214.445,20911454.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.19,21.2439,17393.795,16.531,1140.019,2678.622,3838.089,21239.137,20747946.0,2579.99,
1047968,0.8,1024,7,0,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.2,23.0057,19180.916,24.031,1088.373,2701.67,3816.951,23005.328,20568016.0,2579.99,
