n,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,2.5323,346.455,10.404,644.458,1528.959,2184.573,2531.957,21166894.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,2.5864,362.6,11.692,648.823,1561.247,2222.531,2586.073,21469804.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,2.6121,360.042,11.845,662.277,1575.913,2250.808,2611.782,21835278.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,2.6422,366.553,11.869,667.337,1594.364,2274.349,2641.841,22042162.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,2.6487,364.978,12.258,672.099,1596.877,2282.012,2648.378,22085564.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,2.6267,362.678,12.01,666.852,1583.153,2262.792,2626.407,21883848.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,2.6195,373.739,11.663,659.926,1572.132,2244.489,2619.16,21663014.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,2.6006,371.451,11.557,655.246,1560.29,2227.861,2600.257,21463442.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,2.574,365.336,11.972,648.71,1545.957,2207.401,2573.677,21241714.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,2.5606,370.34,11.692,642.927,1533.609,2188.982,2560.258,21088894.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.1,2.5569,368.695,11.761,643.439,1530.953,2186.921,2556.554,21056948.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.11,2.589,367.203,12.076,664.832,1542.855,2220.533,2588.681,21098590.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.12,2.5721,369.456,11.676,645.591,1543.299,2201.347,2571.756,21163766.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.13,2.5787,371.008,11.652,643.84,1550.112,2206.396,2578.342,21214320.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.14,2.5754,369.223,11.875,656.312,1535.281,2204.281,2575.072,21223828.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.15,2.6125,369.169,11.813,672.919,1556.418,2242.022,2612.17,21201454.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.16,2.5864,382.719,11.566,646.56,1543.521,2202.435,2586.109,21147072.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.17,2.5798,384.716,11.754,642.698,1538.587,2193.823,2579.52,21049562.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.18,2.567,384.585,11.682,640.143,1528.536,2181.135,2566.698,20911456.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.19,2.5532,386.93,11.547,635.391,1517.326,2165.041,2552.925,20748002.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.2,2.5363,381.342,11.88,630.732,1510.352,2153.74,2536.022,20568034.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.21,2.5229,377.518,11.763,624.934,1506.629,2144.091,2522.567,20385234.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.22,2.503,377.647,12.015,621.966,1489.32,2124.081,2502.67,20206864.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.23,2.4857,383.969,11.545,617.159,1471.018,2100.475,2485.422,20036054.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.24,2.4716,388.225,11.437,608.372,1461.092,2081.64,2471.258,19874702.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.25,2.4531,383.391,11.74,605.563,1450.452,2068.489,2452.831,19727498.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.26,2.449,392.04,11.593,602.756,1440.667,2055.742,2448.716,19596538.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.27,2.4301,390.48,11.493,602.293,1423.867,2038.374,2429.813,19489900.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.28,2.4211,379.538,11.29,601.0,1427.299,2040.302,2420.803,19411328.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.29,2.4174,389.727,11.251,604.571,1409.89,2026.413,2417.101,19373302.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.3,2.4442,381.212,11.079,619.044,1430.789,2061.692,2443.885,19378850.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.31,2.4358,393.952,11.109,596.662,1432.169,2040.647,2435.538,19414054.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.32,2.4307,396.163,11.114,598.976,1422.407,2033.214,2430.382,19461520.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.33,2.4562,376.966,11.079,620.084,1445.881,2077.844,2455.79,19515130.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.34,2.4277,385.324,11.06,604.561,1424.243,2040.595,2427.402,19572054.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.35,2.4636,374.329,11.222,628.224,1447.732,2087.969,2463.259,19631944.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.36,2.4563,389.499,11.201,602.961,1450.5,2065.439,2455.967,19690318.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.37,2.4732,370.92,11.061,628.152,1460.966,2101.012,2472.892,19753306.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.38,2.4659,391.649,11.568,615.552,1445.046,2072.912,2465.562,19821376.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.39,2.4912,380.481,11.196,632.456,1464.899,2109.363,2490.804,19885974.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.4,2.4776,392.447,11.692,618.236,1453.157,2083.834,2477.275,19942982.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.41,2.4908,381.809,11.554,619.67,1475.597,2107.578,2490.411,19996834.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.42,2.4906,377.002,11.209,629.619,1470.582,2112.237,2490.262,20047416.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.43,2.5127,374.573,11.366,641.479,1483.079,2136.77,2512.369,20089456.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.44,2.5166,385.232,11.319,630.984,1487.016,2130.148,2516.259,20126096.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.45,2.5093,397.861,12.014,622.594,1474.776,2110.14,2509.023,20161478.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.46,2.5155,383.807,11.485,626.65,1491.425,2130.309,2515.129,20189108.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.47,2.5263,379.002,11.481,643.903,1489.784,2146.002,2525.994,20207452.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.48,2.5473,383.993,11.479,646.37,1503.384,2162.073,2547.024,20218438.0,2579.99,
1047968,0.8,512,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.49,2.5011,386.256,11.497,627.558,1473.696,2113.508,2500.761,20220820.0,2579.99,
