host nfh-000 job 16539318 worker 0/4 budget 9000s rounds 3 acc fine
NVIDIA H200, 143771 MiB
[gen] worker 0/4: 19 plan items, backend=torch64 acc=fine tol_v=1e-08 out=data/multibody_v2
[gen] uniform/phi0.025_P16_fine/shard_0000.npz: n=512 P=16 0.12 s/config iters~24 symm<=2.6e-04 [1.0 min]
[gen] uniform/phi0.05_P16_fine/shard_0000.npz: n=512 P=16 0.13 s/config iters~26 symm<=2.5e-04 [2.1 min]
[gen] uniform/phi0.075_P16_fine/shard_0000.npz: n=512 P=16 0.13 s/config iters~28 symm<=2.7e-04 [3.3 min]
[gen] uniform/phi0.1_P16_fine/shard_0000.npz: n=512 P=16 0.14 s/config iters~28 symm<=2.6e-04 [4.4 min]
[gen] uniform/phi0.15_P16_fine/shard_0000.npz: n=512 P=16 0.14 s/config iters~29 symm<=3.2e-04 [5.7 min]
[gen] uniform/phi0.2_P16_fine/shard_0000.npz: n=503 P=16 0.15 s/config iters~31 symm<=3.8e-04 [7.0 min]
[gen] uniform/phi0.25_P16_fine/shard_0000.npz: n=104 P=16 0.16 s/config iters~33 symm<=4.0e-04 [8.7 min]
[gen] grown/delta0.05_P8_fine/shard_0000.npz: n=1024 P=8 0.07 s/config iters~42 symm<=2.1e-03 [9.9 min]
[gen] grown/delta0.05_P32_fine/shard_0000.npz: n=256 P=32 0.89 s/config iters~47 symm<=1.7e-03 [13.7 min]
[gen] grown/delta0.1_P24_fine/shard_0000.npz: n=384 P=24 0.39 s/config iters~36 symm<=7.1e-04 [16.2 min]
[gen] grown/delta0.2_P16_fine/shard_0000.npz: n=512 P=16 0.13 s/config iters~26 symm<=1.6e-04 [17.3 min]
[gen] grown/delta0.3_P12_fine/shard_0000.npz: n=768 P=12 0.06 s/config iters~21 symm<=4.7e-05 [18.1 min]
[gen] grown/delta0.5_P8_fine/shard_0000.npz: n=1024 P=8 0.03 s/config iters~16 symm<=9.8e-06 [18.5 min]
[gen] grown/delta0.5_P32_fine/shard_0000.npz: n=256 P=32 0.33 s/config iters~17 symm<=8.2e-06 [19.9 min]
[gen] grown/delta1_P24_fine/shard_0000.npz: n=384 P=24 0.13 s/config iters~12 symm<=1.1e-06 [20.8 min]
[gen] lattice/jitter0.1_phi0.05_P32_fine/shard_0000.npz: n=256 P=32 0.18 s/config iters~9 symm<=3.7e-07 [21.6 min]
[gen] lattice/jitter0.05_phi0.1_P32_fine/shard_0000.npz: n=256 P=32 0.22 s/config iters~11 symm<=7.6e-07 [22.5 min]
[gen] lattice/jitter0.2_phi0.1_P32_fine/shard_0000.npz: n=256 P=32 0.37 s/config iters~19 symm<=5.3e-05 [24.1 min]
[gen] lattice/jitter0.1_phi0.15_P32_fine/shard_0000.npz: n=256 P=32 0.29 s/config iters~15 symm<=3.3e-06 [25.4 min]
[gen] uniform/phi0.025_P16_fine/shard_0001.npz: n=512 P=16 0.12 s/config iters~24 symm<=2.4e-04 [26.4 min]
[gen] uniform/phi0.05_P16_fine/shard_0001.npz: n=512 P=16 0.13 s/config iters~27 symm<=2.4e-04 [27.5 min]
[gen] uniform/phi0.075_P16_fine/shard_0001.npz: n=512 P=16 0.13 s/config iters~27 symm<=2.9e-04 [28.6 min]
[gen] uniform/phi0.1_P16_fine/shard_0001.npz: n=512 P=16 0.14 s/config iters~28 symm<=2.5e-04 [29.8 min]
[gen] uniform/phi0.15_P16_fine/shard_0001.npz: n=512 P=16 0.14 s/config iters~29 symm<=2.8e-04 [31.0 min]
[gen] uniform/phi0.2_P16_fine/shard_0001.npz: n=506 P=16 0.15 s/config iters~31 symm<=3.6e-04 [32.4 min]
[gen] uniform/phi0.25_P16_fine/shard_0001.npz: n=106 P=16 0.16 s/config iters~33 symm<=4.2e-04 [34.1 min]
[gen] uniform/phi0.025_P16_fine/shard_0002.npz: n=512 P=16 0.12 s/config iters~25 symm<=2.4e-04 [35.1 min]
[gen] uniform/phi0.05_P16_fine/shard_0002.npz: n=512 P=16 0.13 s/config iters~26 symm<=2.6e-04 [36.2 min]
[gen] uniform/phi0.075_P16_fine/shard_0002.npz: n=512 P=16 0.13 s/config iters~27 symm<=2.7e-04 [37.3 min]
[gen] uniform/phi0.1_P16_fine/shard_0002.npz: n=512 P=16 0.14 s/config iters~28 symm<=2.8e-04 [38.5 min]
[gen] uniform/phi0.15_P16_fine/shard_0002.npz: n=512 P=16 0.14 s/config iters~30 symm<=3.0e-04 [39.7 min]
[gen] uniform/phi0.2_P16_fine/shard_0002.npz: n=500 P=16 0.15 s/config iters~31 symm<=3.7e-04 [41.1 min]
[gen] uniform/phi0.25_P16_fine/shard_0002.npz: n=91 P=16 0.15 s/config iters~32 symm<=4.1e-04 [42.8 min]
[gen] grown/delta0.05_P8_fine/shard_0001.npz: n=1024 P=8 0.07 s/config iters~42 symm<=2.1e-03 [43.9 min]
[gen] grown/delta0.05_P32_fine/shard_0001.npz: n=256 P=32 0.89 s/config iters~47 symm<=1.7e-03 [47.8 min]
[gen] grown/delta0.1_P24_fine/shard_0001.npz: n=384 P=24 0.38 s/config iters~36 symm<=7.2e-04 [50.2 min]
[gen] grown/delta0.2_P16_fine/shard_0001.npz: n=512 P=16 0.13 s/config iters~26 symm<=1.6e-04 [51.3 min]
[gen] grown/delta0.3_P12_fine/shard_0001.npz: n=768 P=12 0.06 s/config iters~21 symm<=4.8e-05 [52.1 min]
[gen] grown/delta0.5_P8_fine/shard_0001.npz: n=1024 P=8 0.03 s/config iters~16 symm<=9.3e-06 [52.5 min]
[gen] grown/delta0.5_P32_fine/shard_0001.npz: n=256 P=32 0.33 s/config iters~17 symm<=8.1e-06 [54.0 min]
[gen] grown/delta1_P24_fine/shard_0001.npz: n=384 P=24 0.13 s/config iters~12 symm<=1.1e-06 [54.8 min]
[gen] done: 41 shards in 54.8 min
worker 0 finished Sun Aug 30 05:16:41 AM EDT 2026
