host neh-001 job 16539319 worker 1/4 budget 9000s rounds 3 acc fine
NVIDIA H200, 143771 MiB
[gen] worker 1/4: 19 plan items, backend=torch64 acc=fine tol_v=1e-08 out=data/multibody_v2
[gen] uniform/phi0.025_P32_fine/shard_0000.npz: n=256 P=32 0.43 s/config iters~22 symm<=1.6e-04 [1.9 min]
[gen] uniform/phi0.05_P32_fine/shard_0000.npz: n=256 P=32 0.50 s/config iters~26 symm<=1.8e-04 [4.0 min]
[gen] uniform/phi0.075_P32_fine/shard_0000.npz: n=256 P=32 0.51 s/config iters~27 symm<=1.9e-04 [6.2 min]
[gen] uniform/phi0.1_P32_fine/shard_0000.npz: n=256 P=32 0.53 s/config iters~27 symm<=1.8e-04 [8.4 min]
[gen] uniform/phi0.15_P32_fine/shard_0000.npz: n=256 P=32 0.56 s/config iters~29 symm<=2.3e-04 [10.8 min]
[gen] uniform/phi0.2_P32_fine/shard_0000.npz: n=256 P=32 0.59 s/config iters~31 symm<=2.7e-04 [13.4 min]
[gen] uniform/phi0.25_P32_fine/shard_0000.npz: n=35 P=32 0.62 s/config iters~33 symm<=3.3e-04 [14.8 min]
[gen] grown/delta0.05_P12_fine/shard_0000.npz: n=768 P=12 0.13 s/config iters~44 symm<=2.0e-03 [16.5 min]
[gen] grown/delta0.1_P8_fine/shard_0000.npz: n=1024 P=8 0.05 s/config iters~33 symm<=8.1e-04 [17.4 min]
[gen] grown/delta0.1_P32_fine/shard_0000.npz: n=256 P=32 0.70 s/config iters~37 symm<=7.0e-04 [20.3 min]
[gen] grown/delta0.2_P24_fine/shard_0000.npz: n=384 P=24 0.29 s/config iters~27 symm<=1.5e-04 [22.2 min]
[gen] grown/delta0.3_P16_fine/shard_0000.npz: n=512 P=16 0.11 s/config iters~21 symm<=4.4e-05 [23.1 min]
[gen] grown/delta0.5_P12_fine/shard_0000.npz: n=768 P=12 0.05 s/config iters~17 symm<=9.4e-06 [23.8 min]
[gen] grown/delta1_P8_fine/shard_0000.npz: n=1024 P=8 0.02 s/config iters~12 symm<=1.2e-06 [24.1 min]
[gen] grown/delta1_P32_fine/shard_0000.npz: n=256 P=32 0.24 s/config iters~12 symm<=1.1e-06 [25.2 min]
[gen] lattice/jitter0.1_phi0.05_P64_fine/shard_0000.npz: n=64 P=64 0.85 s/config iters~9 symm<=3.7e-07 [26.1 min]
[gen] lattice/jitter0.05_phi0.1_P64_fine/shard_0000.npz: n=64 P=64 1.01 s/config iters~11 symm<=7.4e-07 [27.1 min]
[gen] lattice/jitter0.2_phi0.1_P64_fine/shard_0000.npz: n=64 P=64 1.60 s/config iters~18 symm<=3.1e-05 [28.9 min]
[gen] lattice/jitter0.1_phi0.15_P64_fine/shard_0000.npz: n=64 P=64 1.34 s/config iters~15 symm<=2.8e-06 [30.3 min]
[gen] uniform/phi0.025_P32_fine/shard_0001.npz: n=256 P=32 0.45 s/config iters~23 symm<=1.6e-04 [32.2 min]
[gen] uniform/phi0.05_P32_fine/shard_0001.npz: n=256 P=32 0.50 s/config iters~26 symm<=1.9e-04 [34.3 min]
[gen] uniform/phi0.075_P32_fine/shard_0001.npz: n=256 P=32 0.51 s/config iters~26 symm<=1.7e-04 [36.5 min]
[gen] uniform/phi0.1_P32_fine/shard_0001.npz: n=256 P=32 0.53 s/config iters~28 symm<=2.1e-04 [38.7 min]
[gen] uniform/phi0.15_P32_fine/shard_0001.npz: n=256 P=32 0.55 s/config iters~29 symm<=2.4e-04 [41.1 min]
[gen] uniform/phi0.2_P32_fine/shard_0001.npz: n=256 P=32 0.59 s/config iters~31 symm<=2.9e-04 [43.7 min]
[gen] uniform/phi0.25_P32_fine/shard_0001.npz: n=20 P=32 0.62 s/config iters~33 symm<=3.0e-04 [44.9 min]
[gen] uniform/phi0.025_P32_fine/shard_0002.npz: n=256 P=32 0.46 s/config iters~24 symm<=1.8e-04 [46.9 min]
[gen] uniform/phi0.05_P32_fine/shard_0002.npz: n=256 P=32 0.49 s/config iters~25 symm<=1.8e-04 [49.0 min]
[gen] uniform/phi0.075_P32_fine/shard_0002.npz: n=256 P=32 0.51 s/config iters~27 symm<=1.8e-04 [51.2 min]
[gen] uniform/phi0.1_P32_fine/shard_0002.npz: n=256 P=32 0.54 s/config iters~28 symm<=2.0e-04 [53.5 min]
[gen] uniform/phi0.15_P32_fine/shard_0002.npz: n=256 P=32 0.56 s/config iters~30 symm<=2.8e-04 [55.9 min]
[gen] uniform/phi0.2_P32_fine/shard_0002.npz: n=256 P=32 0.59 s/config iters~31 symm<=2.6e-04 [58.5 min]
[gen] uniform/phi0.25_P32_fine/shard_0002.npz: n=36 P=32 0.62 s/config iters~33 symm<=3.0e-04 [59.8 min]
[gen] grown/delta0.05_P12_fine/shard_0001.npz: n=768 P=12 0.13 s/config iters~45 symm<=2.0e-03 [61.5 min]
