family,param,P,cfg,n_near,n_far,e_2b,e_near,e_diag,e_far,lin_2b,lin_near,lin_diag,ang_2b,ang_near,ang_diag
uniform,0.025,16,38555,25,95,2.1021,0.71321,0.66281,0.001206,2.2969,0.79873,0.73961,1.5448,0.44949,0.42888
uniform,0.025,16,39205,29,91,2.5723,1.4854,1.4324,0.00056149,2.9668,1.8225,1.7499,1.6872,0.53169,0.55569
uniform,0.025,16,39075,30,90,1.4253,0.61502,0.56918,0.0012051,1.4999,0.65701,0.60418,1.0767,0.4058,0.39959
uniform,0.025,16,38686,49,71,2.7543,0.95899,0.86674,0.00017656,3.0658,1.1175,1.0051,1.7853,0.34758,0.35069
uniform,0.025,16,38266,35,85,3.023,1.1874,1.0792,0.0026457,3.3839,1.256,1.1837,1.6874,0.9766,0.7224
uniform,0.025,16,39490,30,90,1.2627,0.79172,0.72447,0.0012968,1.4573,0.93284,0.84394,0.74943,0.39011,0.39928
uniform,0.025,32,40221,100,396,3.0345,1.5645,1.486,0.0015909,3.6353,1.9048,1.8091,1.6003,0.69947,0.66505
uniform,0.025,32,39957,65,431,1.4996,1.169,1.1861,0.0020937,1.5426,1.2561,1.2755,1.2859,0.63784,0.63764
uniform,0.025,32,40106,61,435,1.6809,0.96301,0.92135,0.0012433,1.7541,1.0553,1.0086,1.3891,0.51342,0.49871
uniform,0.025,32,40382,75,421,2.5162,1.4755,1.4115,0.0012863,2.7542,1.665,1.5894,1.5686,0.58467,0.58721
uniform,0.025,32,39872,51,445,1.7347,0.91399,0.89184,0.0037199,2.091,1.0984,1.0701,0.56357,0.32042,0.3236
uniform,0.025,32,40364,64,432,1.1796,0.86564,0.82207,0.00058287,1.2558,0.92425,0.8751,0.8194,0.58512,0.57148
uniform,0.025,48,40683,115,1013,2.449,1.5503,1.5238,0.0011179,2.6263,1.7258,1.6958,1.7807,0.77383,0.76326
uniform,0.025,48,40620,113,1015,2.2063,1.352,1.3662,0.00047238,2.4684,1.5626,1.5779,1.4421,0.65604,0.66907
uniform,0.025,48,40653,117,1011,1.935,1.1267,1.069,6.389e-05,2.168,1.264,1.1959,0.92822,0.52895,0.52523
uniform,0.025,48,40536,114,1014,2.6222,1.1923,1.1683,0.0015854,3.1865,1.4976,1.4752,1.5043,0.516,0.47276
uniform,0.025,48,40698,106,1022,2.35,1.401,1.2323,0.0023836,2.7796,1.6662,1.4513,1.0805,0.59544,0.59762
uniform,0.025,48,40732,98,1030,1.8577,1.3052,1.2199,0.00029966,2.0464,1.4455,1.344,1.0851,0.71596,0.71178
uniform,0.025,64,40991,149,1867,1.7482,1.2566,1.2337,0.00020066,1.9985,1.4523,1.4255,0.87799,0.53553,0.52831
uniform,0.025,64,40906,160,1856,2.8951,1.3224,1.2426,0.0018072,3.1918,1.486,1.392,1.7557,0.63297,0.62437
uniform,0.025,64,41018,180,1836,3.0649,1.7277,1.6603,0.0012241,3.4598,2.0166,1.9341,1.932,0.77965,0.77083
uniform,0.025,64,41074,160,1856,2.7431,1.4551,1.4163,0.0015757,3.2273,1.7274,1.6796,1.4894,0.72563,0.7138
uniform,0.025,64,41034,141,1875,1.6035,1.1308,1.1504,0.00059661,1.7641,1.2596,1.2835,1.0255,0.64257,0.64214
uniform,0.025,64,40956,164,1852,3.1168,2.0283,1.8983,0.00066776,3.7693,2.4694,2.3033,1.287,0.74597,0.74272
uniform,0.05,16,41507,61,59,2.6571,1.026,0.98617,0.00034688,2.6937,1.0544,1.0052,2.4718,0.8755,0.888
uniform,0.05,16,41762,56,64,3.1361,1.1354,1.1629,0.00022301,3.2469,1.2318,1.2659,2.6032,0.55096,0.52086
uniform,0.05,16,41639,53,67,3.4863,1.263,1.2427,0.00049477,4.7471,1.74,1.7115,1.6445,0.53969,0.53236
uniform,0.05,16,41998,52,68,5.9164,1.8943,1.2796,0.0033422,7.2093,2.389,1.5818,3.1511,0.67635,0.59996
uniform,0.05,16,42613,53,67,2.8417,1.4474,1.3614,0.00030547,3.1557,1.682,1.5832,2.0765,0.79245,0.74077
uniform,0.05,16,42591,54,66,2.4088,1.0281,1.018,0.0016187,2.9873,1.2959,1.2816,1.1132,0.38374,0.38797
uniform,0.05,32,42629,135,361,3.6243,1.6417,1.4744,0.00056713,4.1995,1.9479,1.7484,2.1443,0.78081,0.70647
uniform,0.05,32,42820,118,378,2.4601,1.2888,1.1897,0.00010404,2.6929,1.4542,1.335,1.6323,0.61648,0.61564
uniform,0.05,32,43261,125,371,3.6958,1.8578,1.7755,0.0035846,4.2905,2.1278,2.0261,1.8815,1.0764,1.0598
uniform,0.05,32,43347,152,344,6.4814,2.5113,2.5338,0.0045314,7.3315,2.9717,3.0133,4.2547,1.0803,1.0026
uniform,0.05,32,43142,108,388,3.6807,1.7888,1.7645,0.0010544,4.2393,2.0869,2.0689,1.9435,0.80508,0.73215
uniform,0.05,32,43014,130,366,3.6193,1.6659,1.6195,0.0022626,3.9859,1.8836,1.8238,2.5126,0.94589,0.95449
uniform,0.05,48,43399,221,907,4.345,2.4163,2.3841,0.0011987,4.7399,2.7014,2.6658,2.7469,1.1085,1.0909
uniform,0.05,48,43504,218,910,4.3802,2.2097,2.0945,0.0032996,4.7241,2.4671,2.3383,3.015,0.99998,0.95049
uniform,0.05,48,43477,198,930,4.7126,2.1492,2.0763,0.0017289,5.2908,2.455,2.3749,2.6478,0.95892,0.9044
uniform,0.05,48,43759,191,937,3.5398,1.8858,1.7344,0.00092856,3.8443,2.1338,1.9462,2.5284,0.91395,0.93827
uniform,0.05,48,43435,228,900,4.1341,1.9184,1.9497,0.0020518,4.3285,2.0809,2.123,3.2591,1.0606,1.0123
uniform,0.05,48,43741,217,911,3.4036,1.7679,1.6488,0.0012646,3.5442,1.8941,1.7636,2.6905,1.0347,0.98772
uniform,0.05,64,43809,287,1729,4.4012,2.3557,2.2236,0.0018667,4.8886,2.6866,2.5301,2.665,1.0139,0.99874
uniform,0.05,64,43824,268,1748,4.1321,2.0184,1.9973,0.00033995,4.3548,2.2064,2.1863,3.1933,1.0879,1.0552
uniform,0.05,64,43816,262,1754,6.1487,3.1869,3.0351,0.0017219,6.5197,3.4701,3.3032,4.2826,1.5313,1.4748
uniform,0.05,64,43934,287,1729,4.312,2.2975,2.1489,0.0040974,4.5337,2.5221,2.3814,3.4123,1.2009,0.94001
uniform,0.05,64,43889,270,1746,3.4349,1.7154,1.5797,0.0019217,3.4693,1.7586,1.6156,3.1799,1.3711,1.2972
uniform,0.05,64,43926,266,1750,4.3558,2.1672,2.0238,0.002455,4.7489,2.4337,2.3047,3.1042,1.2239,0.96109
uniform,0.075,16,44154,80,40,7.064,1.8442,1.2968,0.0012291,7.8344,1.8758,1.4902,5.0588,1.7752,0.73487
uniform,0.075,16,43975,81,39,6.4927,1.7692,1.4472,0.0036152,6.8876,1.9764,1.6302,5.5012,1.1761,0.90936
uniform,0.075,16,44670,64,56,4.6006,1.1576,1.0168,0.00021851,5.183,1.3471,1.1793,2.7363,0.44822,0.42139
uniform,0.075,16,44614,76,44,6.0669,2.1936,2.0318,0.0048179,6.8513,2.6346,2.457,4.3897,1.0617,0.90825
uniform,0.075,16,44752,57,63,4.026,1.4312,1.2465,0.0058142,4.0872,1.5186,1.3401,3.79,1.0444,0.80945
uniform,0.075,16,44277,77,43,3.2863,0.97276,0.92567,0.00060928,3.206,0.96059,0.94488,3.913,1.0723,0.73888
uniform,0.075,32,45745,183,313,6.1168,2.3178,2.1017,0.0022083,6.1386,2.3754,2.2089,5.9951,1.9705,1.3674
uniform,0.075,32,46086,176,320,5.1122,1.7694,1.5738,0.0023688,5.2591,1.8725,1.664,4.3471,1.1602,1.0439
uniform,0.075,32,45946,170,326,4.5436,1.6241,1.5625,0.0011202,4.742,1.6959,1.6399,3.4321,1.2211,1.1177
uniform,0.075,32,45848,177,319,6.4512,2.0437,1.981,0.0018329,7.0013,2.1969,2.1895,4.4625,1.5071,1.1722
uniform,0.075,32,45553,189,307,6.8739,2.7825,2.6751,0.0021408,7.2951,3.0319,2.9144,5.1211,1.6228,1.5633
uniform,0.075,32,46118,195,301,7.7522,2.7556,2.601,0.0042784,9.1159,3.3122,3.1322,4.3168,1.2265,1.1294
uniform,0.075,48,46504,252,876,5.7758,2.4782,2.3549,0.0027982,6.3909,2.8121,2.6973,3.675,1.2056,0.97729
uniform,0.075,48,46584,303,825,6.5651,2.9886,2.8294,0.0025576,7.0494,3.4113,3.232,5.0947,1.3776,1.2881
uniform,0.075,48,46655,290,838,5.1355,1.9679,1.8768,0.001648,5.2805,2.0433,1.9588,4.1962,1.4556,1.3023
uniform,0.075,48,46323,275,853,5.8539,3.4055,3.3841,0.0027267,6.3033,3.7686,3.7494,3.8679,1.5462,1.4984
uniform,0.075,48,46624,277,851,6.1214,2.5007,2.2933,0.0026191,6.2297,2.6156,2.4093,5.4862,1.736,1.5007
uniform,0.075,48,46465,278,850,5.2751,2.1144,2.1361,0.0031931,5.4327,2.2052,2.2376,4.2889,1.5088,1.4427
uniform,0.075,64,46716,396,1620,6.8444,3.0449,3.1085,0.0053071,8.5634,3.8618,3.9548,3.2544,1.2446,1.2169
uniform,0.075,64,46677,417,1599,6.8659,2.8246,2.7194,0.0049364,7.2202,3.0839,2.9733,5.3393,1.5032,1.4138
uniform,0.075,64,46718,413,1603,5.7443,3.1211,3.1335,0.0019573,5.8158,3.2888,3.309,5.3094,1.8699,1.8029
uniform,0.075,64,46665,369,1647,5.634,2.9367,2.956,0.0056439,5.9631,3.2117,3.2362,4.3312,1.6946,1.6837
uniform,0.075,64,46752,358,1658,6.114,2.8097,2.5816,0.0014686,6.4895,3.0305,2.786,4.2413,1.6167,1.4732
uniform,0.075,64,46725,407,1609,8.6305,3.4777,3.2348,0.0046122,9.3777,3.9179,3.6516,6.1541,1.7986,1.6289
uniform,0.1,16,50965,89,31,12.912,3.5866,3.1424,0.0023611,16.251,4.6751,4.0861,6.8426,1.3387,1.2154
uniform,0.1,16,50401,90,30,5.3213,1.53,1.3415,0.0056657,5.4666,1.6313,1.4413,4.7657,1.0938,0.89805
uniform,0.1,16,50367,82,38,6.3039,1.6249,1.532,0.007427,7.6272,2.1515,2.0454,4.3475,0.62619,0.52031
uniform,0.1,16,51104,88,32,6.8529,1.3517,1.1557,0.0032193,7.0097,1.419,1.2144,6.2234,1.0588,0.89923
uniform,0.1,16,51091,91,29,5.2031,1.4613,1.2487,0.0062394,4.8657,1.354,1.253,7.3222,2.1203,1.2147
