family,param,P,cfg,n_near,n_far,e_2b,e_near,e_diag,e_far,lin_2b,lin_near,lin_diag,ang_2b,ang_near,ang_diag
uniform,0.025,16,38555,48,72,2.12,0.63713,0.54203,0.0011849,2.3198,0.7384,0.63027,1.5464,0.27494,0.22024
uniform,0.025,16,39205,57,63,2.5155,0.83572,0.78288,0.00058313,2.889,0.99944,0.93265,1.6867,0.42428,0.41184
uniform,0.025,16,39075,58,62,1.3797,0.45822,0.43117,0.0012372,1.4456,0.50522,0.47117,1.0762,0.16979,0.20378
uniform,0.025,16,38686,76,44,2.7402,0.65881,0.57231,0.0001772,3.0481,0.75522,0.66153,1.7845,0.32132,0.24586
uniform,0.025,16,38266,70,50,3.0189,0.67721,0.52185,0.0026157,3.3789,0.69655,0.59209,1.6879,0.62156,0.24391
uniform,0.025,16,39490,59,61,1.2185,0.42471,0.4229,0.0013072,1.3988,0.5058,0.50343,0.75124,0.18223,0.18269
uniform,0.025,32,40221,179,317,3.0059,1.0399,0.95126,0.0016091,3.5966,1.2719,1.1672,1.6018,0.43805,0.3819
uniform,0.025,32,39957,126,370,1.5028,0.75116,0.75163,0.0021109,1.5459,0.8157,0.81662,1.2884,0.32313,0.31864
uniform,0.025,32,40106,149,347,1.6269,0.67906,0.62744,0.0012256,1.6877,0.738,0.68824,1.3889,0.40427,0.32942
uniform,0.025,32,40382,150,346,2.4668,0.94168,0.92435,0.001284,2.6949,1.0615,1.0423,1.566,0.3829,0.37265
uniform,0.025,32,39872,123,373,1.7568,0.68515,0.67525,0.0037022,2.1185,0.82696,0.81438,0.56511,0.21443,0.2161
uniform,0.025,32,40364,137,359,1.1488,0.50044,0.49838,0.00062036,1.2192,0.54184,0.53987,0.82053,0.28817,0.28507
uniform,0.025,48,40683,223,905,2.4259,1.0467,1.0246,0.00113,2.5983,1.1549,1.1334,1.7793,0.58982,0.55911
uniform,0.025,48,40620,201,927,2.215,1.2741,1.2735,0.000476,2.4792,1.4963,1.4953,1.4431,0.47143,0.47273
