volume_fraction,num_particles,avg_rel_rmse,max_rel_rmse,avg_nearfield_interactions,avg_rmse,avg_mae,avg_rel_mae
0.05,20,3.0996,9.5081,7.5,0.002147,0.001932,2.8909000000000002
0.05,30,3.5201000000000002,13.9813,8.1,0.002186,0.001958,3.3077
0.05,40,3.4612,14.326,8.35,0.002331,0.002059,3.2199999999999998
0.05,50,3.5904,14.344499999999998,8.96,0.002495,0.002239,3.3824
0.05,60,3.7687,24.698600000000003,8.343333,0.002361,0.002079,3.4917
0.05,70,4.3443000000000005,27.2189,9.308571,0.002891,0.002548,4.0499
0.05,80,3.4622,13.287299999999998,9.0025,0.002762,0.002458,3.2259
0.05,90,4.1738,24.5883,9.188889,0.003214,0.002779,3.7905
0.05,100,3.9578,26.568599999999996,9.36,0.002996,0.002643,3.6974
0.05,120,3.8335,19.3963,9.368333,0.003053,0.002677,3.5545
0.05,140,4.0961,22.6217,9.365714,0.003353,0.002974,3.8409
0.1,20,4.5805,16.3379,12.57,0.003356,0.003013,4.2833000000000006
0.1,30,5.0613,14.7998,13.486667,0.003824,0.003417,4.7614
0.1,40,5.6702,23.0818,14.595,0.00454,0.004119,5.3594
0.1,50,5.7458,28.1351,15.424,0.005138,0.004586,5.407900000000001
0.1,60,5.6591000000000005,20.627499999999998,15.213333,0.004752,0.004199,5.2919
0.1,70,6.9494,44.3453,15.845714,0.005061,0.004535,6.6068
0.1,80,7.4643,34.5285,16.7225,0.005664,0.005055,7.044300000000001
0.1,90,6.8675,37.697,16.837778,0.005473,0.004894,6.454699999999999
0.1,100,6.9642,42.8793,17.148,0.005641,0.005084,6.624
0.1,120,7.6325,34.9382,17.29,0.006632,0.005966,7.248400000000001
0.1,140,7.6685,41.8456,17.247143,0.006293,0.005652,7.3290999999999995
0.15,20,8.1952,40.4787,14.62,0.004543,0.00411,7.7482999999999995
0.15,30,7.8338,35.7231,17.893333,0.005434,0.004967,7.463100000000001
0.15,40,7.097,19.5539,19.005,0.006669,0.006048,6.6853
0.15,50,7.7429,26.7258,20.628,0.006536,0.005901,7.2372000000000005
0.15,60,8.1803,30.6734,21.696667,0.007282,0.0066,7.742699999999999
0.15,70,10.553899999999999,39.1186,22.291429,0.007985,0.007209,10.0264
0.15,80,10.9446,45.3401,22.45,0.008161,0.007289,10.2913
0.15,90,10.0204,37.2319,22.953333,0.008749,0.007961,9.562
0.15,100,10.5084,44.4232,23.27,0.009097,0.008222,9.9071
0.15,120,10.6913,51.269600000000004,23.805,0.009698,0.008718,10.1339
0.15,140,10.6682,43.7311,24.46,0.009475,0.008414,9.6156
0.2,20,9.990499999999999,30.4299,16.82,0.00575,0.005307,9.6926
0.2,30,8.6222,23.59,20.46,0.007036,0.006472,8.2755
0.2,40,12.4203,54.3639,22.775,0.009247,0.008444,11.9222
0.2,50,12.1111,48.1372,24.272,0.009276,0.008535,11.6675
0.2,60,11.2665,54.2043,26.106667,0.010026,0.009212,10.7531
0.2,70,14.283499999999998,66.9787,26.765714,0.010643,0.009639,13.5997
0.2,80,13.9265,60.261399999999995,27.43,0.011395,0.010354,13.3436
0.2,90,14.379800000000001,66.2905,28.026667,0.012685,0.011368,13.7292
0.2,100,14.1006,47.6777,28.568,0.013036,0.011767,13.261600000000001
0.2,120,16.935,90.3357,29.356667,0.013528,0.012262,16.114800000000002
0.2,140,15.131400000000001,122.19,30.032857,0.012269,0.011074,14.4357
0.05,160,4.2779,20.125899999999998,9.43125,0.003402,0.002981,3.9293
0.05,180,4.307799999999999,24.7948,9.394444,0.003412,0.003014,4.0241
0.05,200,4.7515,32.777699999999996,9.584,0.003586,0.003155,4.4488
0.1,160,7.685599999999999,42.522999999999996,17.485,0.006457,0.005793,7.245699999999999
0.1,180,7.851800000000001,51.7038,18.04,0.006724,0.005964,7.3841
0.1,200,7.527699999999999,64.97319999999999,17.953,0.007502,0.006658,7.0368
0.15,160,12.2408,90.0537,25.0125,0.009938,0.008882,11.5146
0.15,180,12.4697,54.0296,25.586667,0.011153,0.009911,11.6548
0.15,200,12.094000000000001,75.7379,25.955,0.011288,0.010169,11.659799999999999
0.2,160,13.3271,37.134299999999996,31.3225,0.015836,0.014119,12.289200000000001
0.2,180,15.7034,53.2067,31.748889,0.016083,0.014441,14.7824
0.2,200,18.6444,91.1624,32.28,0.01665,0.014955,17.6766
0.025,20,1.784342,3.835908,4.7,0.000554,0.001209,1.6116
0.025,30,1.770442,3.937132,5.0,0.000507,0.0011,1.595193
0.025,40,1.67007,4.163157,4.85,0.000534,0.001183,1.531077
0.025,50,1.765815,5.235666,4.96,0.000535,0.001167,1.609043
0.025,60,1.987774,5.230739,4.633333,0.000676,0.001422,1.751929
0.025,70,2.276849,6.173525,4.742857,0.000698,0.001477,2.011184
0.025,80,2.203578,8.828852,4.95,0.000777,0.001592,1.893733
0.025,90,2.008074,6.558369,4.822222,0.000664,0.001428,1.808923
0.025,100,2.230945,8.070757,4.88,0.000709,0.001508,1.98497
0.025,120,2.081082,6.935224,4.916667,0.000705,0.00151,1.875157
0.025,140,1.950231,6.305652,4.6,0.000679,0.001485,1.791804
0.025,160,2.182227,7.933354,4.775,0.000736,0.00159,1.983347
0.025,180,2.369587,8.549766,4.733333,0.000759,0.001609,2.106487
0.025,200,2.252869,8.385119,4.61,0.000776,0.001686,2.053462
0.075,20,3.456283,7.612718,11.0,0.001118,0.002482,3.186299
0.075,30,4.113422,10.383563,12.933333,0.00144,0.003226,3.840102
0.075,40,5.511428,13.278073,12.6,0.001588,0.003608,5.209851
0.075,50,4.297521,9.986921,12.36,0.001554,0.00347,4.011532
0.075,60,4.807164,11.834963,13.333333,0.001619,0.00363,4.518075
0.075,70,4.913272,12.691554,13.914286,0.001721,0.003814,4.578785
0.075,80,4.972789,13.664705,13.425,0.001643,0.003631,4.611213
0.075,90,4.413025,11.080567,13.533333,0.001685,0.003783,4.160605
0.075,100,4.993417,15.932194,13.78,0.001839,0.00413,4.718737
0.075,120,5.137111,13.936002,14.033333,0.001801,0.004038,4.837302
0.075,140,5.008577,12.977951,13.985714,0.002017,0.004451,4.668004
0.075,160,4.994271,12.561131,13.775,0.002176,0.004848,4.691848
0.075,180,5.321495,16.158664,13.811111,0.002242,0.00491,4.913375
0.075,200,5.414658,16.889098,13.73,0.002235,0.004945,5.063793
0.125,20,6.808592,16.218273,14.1,0.002105,0.004802,6.458776
0.125,30,6.630077,14.626143,16.733333,0.002055,0.004657,6.22487
0.125,40,7.002004,15.18651,18.65,0.002445,0.005579,6.68798
0.125,50,6.922165,18.326387,19.08,0.00239,0.005363,6.48673
0.125,60,6.886886,17.515814,20.066667,0.002378,0.005355,6.488092
0.125,70,7.279229,19.653364,19.114286,0.002888,0.006561,6.952584
0.125,80,8.003887,24.0512,20.725,0.003249,0.007312,7.555261
0.125,90,8.332434,23.042694,21.422222,0.00324,0.00724,7.846825
0.125,100,9.859742,28.615791,22.0,0.003722,0.008228,9.180605
0.125,120,7.470619,19.681201,21.1,0.003256,0.007206,6.960875
0.125,140,8.349516,25.018576,21.171429,0.003291,0.007395,7.902026
0.125,160,7.965888,20.636715,21.3625,0.003599,0.007948,7.415366
0.125,180,9.232899,29.783376,21.677778,0.003691,0.008196,8.726179
0.125,200,8.797895,26.970377,21.7,0.003566,0.007976,8.31977
0.175,20,6.566395,13.232028,16.6,0.002545,0.005921,6.346162
0.175,30,8.38353,20.405182,19.6,0.00316,0.007218,8.010172
0.175,40,8.056927,18.430038,20.7,0.002872,0.006561,7.714578
0.175,50,9.784274,21.960649,23.6,0.003808,0.00858,9.235694
0.175,60,9.963674,24.127506,23.5,0.003373,0.007611,9.397715
0.175,70,10.57143,27.987206,24.371429,0.004267,0.00956,9.930544
0.175,80,10.962093,32.459593,24.775,0.003754,0.008427,10.298791
0.175,90,10.609523,31.149299,25.222222,0.004091,0.009094,9.905053
0.175,100,10.873924,28.38365,26.16,0.004482,0.010063,10.287776
0.175,120,11.718156,38.694686,27.966667,0.005188,0.011587,11.011511
0.175,140,12.908552,35.567924,27.857143,0.004849,0.010879,12.248
0.175,160,12.787243,32.873517,27.65,0.005078,0.011194,11.886762
0.175,180,12.150626,32.980284,28.344444,0.005544,0.012213,11.278527
0.175,200,13.91678,39.747685,29.0,0.0053,0.011885,13.188703
