case,n,loading,policy,order,pdeg,mac,hilbert_q,buckets,near_pairs,far_ms,traverse_ms,p2p_ms,upward_ms,build_ms,rel_far
drop3k,3071,random,bary,,7,0.8,,635,21871,5.6378475079933805,0.5776960253715515,0.018624000251293182,0.531016,3.131906,0.0004077192578391884
drop3k,3071,random,bary,,7,0.8,12.0,1054,30831,6.554690500100453,0.6769279837608337,0.022175999358296394,0.586346,3.87448,0.0004396931248518599
drop3k,3071,random,bary,,7,0.8,14.0,1593,29412,7.599112888177236,0.9061440229415894,0.022975999861955643,0.611025,4.583326,0.0004100700708913097
drop3k,3071,random,bary,,7,0.8,16.0,2369,27679,8.583578591545423,0.9833279848098755,0.0226879995316267,0.706085,5.36346,0.0004284327670915633
drop3k,3071,random,bary,,7,0.8,18.0,2207,30459,8.733847799400488,1.0667200088500977,0.022752000018954277,0.709695,5.436429,0.000350369822950803
drop3k,3071,random,bary,,7,0.8,20.0,3071,22065,9.980488258103529,1.1806399822235107,0.02099199965596199,0.789984,6.448902,0.0004072713807708001
drop3k,3071,random,bary,,7,0.8,22.0,3071,22065,9.909932191173235,1.1335359811782837,0.02067199908196926,0.778314,6.436312,0.0004072713807708003
drop3k,3071,random,bary,,7,0.8,26.0,3071,22065,9.904092488189539,1.1456960439682007,0.020608000457286835,0.786204,6.429941,0.00040727138077080016
drop3k,3071,random,bary,,7,0.8,28.0,3071,22065,9.902535627285639,1.1187200546264648,0.020896000787615776,0.795314,6.430771,0.00040727138077079956
drop3k,3071,random,bary,,7,0.8,36.0,3071,22065,9.926302048067251,1.1391680240631104,0.020896000787615776,0.788784,6.450502,0.00040727138077080075
drop3k,3071,random,cart,4,,0.33,,635,30643,6.543240820368131,0.74099200963974,0.02236800082027912,1.425609,3.141266,0.0010875066984067712
drop3k,3071,random,cart,4,,0.33,12.0,1054,40074,7.570176695783933,0.8060160279273987,0.026176000013947487,1.662367,3.859631,0.0011382893656716234
drop3k,3071,random,cart,4,,0.33,14.0,1593,33426,8.339543516437212,0.8842880129814148,0.023711999878287315,1.628148,4.577905,0.0011184488779433493
drop3k,3071,random,cart,4,,0.33,16.0,2369,28693,9.278667159378529,0.8301439881324768,0.021056000143289566,1.679787,5.35442,0.0011644117518919996
drop3k,3071,random,cart,4,,0.33,18.0,2207,31347,9.610324477156004,0.9725120067596436,0.022143999114632607,1.794577,5.407169,0.0011116718693642688
drop3k,3071,random,cart,4,,0.33,20.0,3071,22065,10.674786443511644,0.8826559782028198,0.018239999189972878,1.897996,6.458441,0.0011764135629359737
drop3k,3071,random,cart,4,,0.33,22.0,3071,22065,10.645686648786068,0.8767359852790833,0.01836800016462803,1.900936,6.469121,0.0011764135629359724
drop3k,3071,random,cart,4,,0.33,26.0,3071,22065,10.665896659096083,0.8827840089797974,0.01849599927663803,1.899315,6.439882,0.0011764135629359776
drop3k,3071,random,cart,4,,0.33,28.0,3071,22065,10.65845632304748,0.8830400109291077,0.017855999991297722,1.898086,6.451312,0.001176413562935973
drop3k,3071,random,cart,4,,0.33,36.0,3071,22065,10.653686399261156,0.8686079978942871,0.017791999503970146,1.896856,6.445441,0.0011764135629359718
uniform100k,100000,random,bary,,7,0.8,,1316,708498,14.52508723984162,6.252255916595459,0.502016007900238,1.196791,4.230168,0.00038534343928141
uniform100k,100000,random,bary,,7,0.8,12.0,1730,776501,15.650909083584944,6.951104164123535,0.4713279902935028,1.040722,4.737774,0.0004002923080063488
uniform100k,100000,random,bary,,7,0.8,14.0,2746,904521,17.01225557674964,7.252895832061768,0.5379840135574341,1.020623,5.790307,0.00037272134329908736
uniform100k,100000,random,bary,,7,0.8,16.0,4098,1031911,18.528393780191738,7.971263885498047,0.46588799357414246,1.103952,6.362342,0.0003889824662692091
uniform100k,100000,random,bary,,7,0.8,18.0,5834,1158758,20.449376354614895,8.74777603149414,0.5192959904670715,1.3316,7.192216,0.0003745334502155286
uniform100k,100000,random,bary,,7,0.8,20.0,8002,1282834,22.124600286285084,9.94870376586914,0.5749760270118713,1.555038,7.474964,0.00038678464364363057
uniform100k,100000,random,bary,,7,0.8,22.0,10650,1396236,23.190865603586037,10.594528198242188,0.6234880089759827,1.736217,7.497604,0.00038432739818497567
uniform100k,100000,random,bary,,7,0.8,26.0,17575,1600125,26.000024440387886,12.030783653259277,0.7201600074768066,2.271773,7.850561,0.00037136282866379066
uniform100k,100000,random,bary,,7,0.8,28.0,21925,1684678,27.170588883260887,12.81494426727295,0.7594559788703918,2.58127,8.054279,0.00038768976973802764
uniform100k,100000,random,bary,,7,0.8,36.0,44051,1900704,34.031967632472515,16.313600540161133,0.8539519906044006,4.256017,9.079152,0.00039692155945047456
uniform100k,100000,random,cart,4,,0.33,,1316,5528859,18.600086991985638,6.177696228027344,4.156544208526611,1.816937,4.279578,0.00039512093895741
uniform100k,100000,random,cart,4,,0.33,12.0,1730,5359858,20.169751718640327,7.648575782775879,3.2728960514068604,1.724587,6.638651,0.00044719281012671697
uniform100k,100000,random,cart,4,,0.33,14.0,2746,5279576,21.049735136330128,8.170111656188965,3.116703987121582,1.648738,5.750627,0.0004544626930807457
uniform100k,100000,random,cart,4,,0.33,16.0,4098,5056950,21.826162313421566,9.08505630493164,2.2271358966827393,1.678297,6.381142,0.0004808259037863342
uniform100k,100000,random,cart,4,,0.33,18.0,5834,4722776,23.928976928194363,10.160256385803223,2.0508480072021484,1.957446,7.218926,0.0005060415958770099
uniform100k,100000,random,cart,4,,0.33,20.0,8002,4310689,25.214174141486485,11.437664031982422,1.866655945777893,1.974485,7.472104,0.0005476745553942026
uniform100k,100000,random,cart,4,,0.33,22.0,10650,3809849,26.07037778943777,12.18569564819336,1.6584960222244263,2.020455,7.608862,0.0005853365517705385
