case,n,loading,backend,policy,order,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms
uniform100k,100000,gravity,widebvh-cart,cart,2,,1024,0.15,,1.0022044217914868e-06,1.0013714863313184e-06,67.14572012424469,38774377.0,30.444448471069336,29.230527877807617,5.573607000000001,0.508686
uniform100k,100000,gravity,widebvh-cart,cart,2,,1024,0.2,,3.3654223539767756e-06,3.362625340157918e-06,44.709562323987484,19946930.0,22.558176040649414,15.142496109008789,5.472068,0.505426
uniform100k,100000,gravity,widebvh-cart,cart,2,,1024,0.25,,1.0506163386495469e-05,1.0497431678827193e-05,23.606108501553535,11428619.0,8.027968406677246,8.63974380493164,5.4328389999999995,0.500276
uniform100k,100000,gravity,widebvh-cart,cart,2,,1024,0.3,,2.697922806761967e-05,2.6956805540581404e-05,18.211033505698044,7123810.0,5.914144039154053,5.375711917877197,5.426188,0.503256
uniform100k,100000,gravity,widebvh-cart,cart,2,,1024,0.35,,6.0217252080698624e-05,6.016720532029594e-05,14.958654840787252,4713535.0,4.523104190826416,3.529695987701416,5.431438,0.499997
uniform100k,100000,gravity,widebvh-cart,cart,2,,1024,0.4,,0.00011254440586744843,0.00011245086983382865,12.822268220285574,3280125.0,3.5483200550079346,2.4041600227355957,5.428408,0.502726
uniform100k,100000,gravity,widebvh-cart,cart,2,,1024,0.5,,0.00030706794655960696,0.00030681274135814377,10.473016339043776,1777544.0,2.3159360885620117,1.2795840501785278,5.420138,0.502456
uniform100k,100000,gravity,widebvh-cart,cart,2,,1024,0.6,,0.0006284862042595842,0.0006279638672648834,9.265565313398838,1062857.0,1.6426880359649658,0.7697280049324036,5.443828,0.499356
uniform100k,100000,gravity,widebvh-cart,cart,3,,1024,0.15,,4.968547420527164e-07,4.964418044082498e-07,68.70515116800864,38774377.0,31.7706241607666,29.329696655273438,5.5858870000000005,0.954993
uniform100k,100000,gravity,widebvh-cart,cart,3,,1024,0.2,,1.966053956602772e-06,1.9644199625577928e-06,46.242631040513515,19946930.0,23.371328353881836,15.143168449401855,5.488598,0.954273
uniform100k,100000,gravity,widebvh-cart,cart,3,,1024,0.25,,7.024001999228313e-06,7.0181643275814516e-06,24.296929749349754,11428619.0,8.308416366577148,8.642975807189941,5.421169000000001,0.948773
uniform100k,100000,gravity,widebvh-cart,cart,3,,1024,0.3,,2.1768057846082564e-05,2.1749966340113565e-05,18.885378104945023,7123810.0,6.14035177230835,5.3788161277771,5.411729,0.948653
uniform100k,100000,gravity,widebvh-cart,cart,3,,1024,0.35,,5.402512939930147e-05,5.398022893285129e-05,15.554287160436312,4713535.0,4.708352088928223,3.5312960147857666,5.415827999999999,0.948212
uniform100k,100000,gravity,widebvh-cart,cart,3,,1024,0.4,,0.00010520032501952026,0.00010511289267615326,13.517805996040503,3280125.0,3.677311897277832,2.4099841117858887,5.4080189999999995,0.947203
uniform100k,100000,gravity,widebvh-cart,cart,3,,1024,0.5,,0.0002966426898636364,0.0002963961491280193,10.99898541967074,1777544.0,2.3910720348358154,1.2792320251464844,5.415938000000001,0.949273
uniform100k,100000,gravity,widebvh-cart,cart,3,,1024,0.6,,0.0006109490826660282,0.0006104413208319701,9.769448389609655,1062857.0,1.7018239498138428,0.7676159739494324,5.403039,0.946523
uniform100k,100000,gravity,widebvh-cart,cart,4,,1024,0.15,,8.99029226538569e-08,8.982820403296185e-08,74.95332695543766,38774377.0,37.123199462890625,29.295040130615234,5.582167,1.821226
uniform100k,100000,gravity,widebvh-cart,cart,4,,1024,0.2,,1.385280964619037e-07,1.384129652957824e-07,51.48409027606249,19946930.0,27.939104080200195,15.118176460266113,5.484928,1.816216
uniform100k,100000,gravity,widebvh-cart,cart,4,,1024,0.25,,2.9975110567813114e-07,2.995019815276931e-07,26.93043618152539,11428619.0,9.986495971679688,8.648159980773926,5.430878,1.821446
uniform100k,100000,gravity,widebvh-cart,cart,4,,1024,0.3,,8.328390690435749e-07,8.321468936967729e-07,20.954918737212818,7123810.0,7.350592136383057,5.369088172912598,5.431609,1.815466
uniform100k,100000,gravity,widebvh-cart,cart,4,,1024,0.35,,2.192843110199883e-06,2.1910206309278335e-06,17.32446998357773,4713535.0,5.54636812210083,3.540992021560669,5.417928,1.814736
uniform100k,100000,gravity,widebvh-cart,cart,4,,1024,0.4,,5.316534113990184e-06,5.312115524636106e-06,15.267526110013327,3280125.0,4.306303977966309,2.4609920978546143,5.441528,1.813456
uniform100k,100000,gravity,widebvh-cart,cart,4,,1024,0.5,,2.749407183700732e-05,2.747122142158356e-05,12.344968505203724,1777544.0,2.820768117904663,1.322111964225769,5.449208,1.818446
uniform100k,100000,gravity,widebvh-cart,cart,4,,1024,0.6,,9.79191826521752e-05,9.783780169067843e-05,10.932759381830692,1062857.0,1.966528058052063,0.7935680150985718,5.418819,1.819816
uniform100k,100000,random,widebvh-cart,cart,2,,1024,0.15,,0.0003216177112502696,0.00030979796494146853,67.0483907063802,38774377.0,30.325056076049805,29.304447174072266,5.5713870000000005,0.506536
uniform100k,100000,random,widebvh-cart,cart,2,,1024,0.2,,0.001017308091928465,0.000979921085106791,44.75270863622427,19946930.0,22.542911529541016,15.146656036376953,5.473308,0.501426
uniform100k,100000,random,widebvh-cart,cart,2,,1024,0.25,,0.0023744578180953904,0.0022871943122339316,23.56601847956578,11428619.0,7.9976959228515625,8.654496192932129,5.444818,0.502806
uniform100k,100000,random,widebvh-cart,cart,2,,1024,0.3,,0.004492585052937363,0.004327478425600194,18.23146299769481,7123810.0,5.941728115081787,5.376255989074707,5.421039,0.500216
uniform100k,100000,random,widebvh-cart,cart,2,,1024,0.35,,0.007550518503067412,0.007273030012588358,14.940061916907629,4713535.0,4.528287887573242,3.528223991394043,5.421618,0.500336
uniform100k,100000,random,widebvh-cart,cart,2,,1024,0.4,,0.011753254660428722,0.011321311755764183,12.839537734786669,3280125.0,3.573983907699585,2.408224105834961,5.4087689999999995,0.499096
uniform100k,100000,random,widebvh-cart,cart,2,,1024,0.5,,0.022715620704596092,0.021880800778381438,10.465992614626884,1777544.0,2.332159996032715,1.2797759771347046,5.430128,0.501606
