backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha
widebvh,1047968,0,0.0,95.989,2.499,28.16,151.984,182.968,280.83,21166894,281.008,238.229,95863408.0,NVIDIA H200,ac78eb4
widebvh,1047968,1,0.01,98.54,2.53,28.468,153.985,185.254,284.38,21469820,284.447,238.246,97852384.0,NVIDIA H200,ac78eb4
widebvh,1047968,2,0.02,100.602,2.438,28.918,156.456,188.076,289.267,21835284,289.321,238.226,99814656.0,NVIDIA H200,ac78eb4
widebvh,1047968,3,0.03,100.048,2.545,29.245,157.836,189.914,290.569,22042128,290.625,238.168,101685608.0,NVIDIA H200,ac78eb4
widebvh,1047968,4,0.04,100.121,2.471,29.233,157.951,189.925,290.656,22085576,290.71,238.072,103458416.0,NVIDIA H200,ac78eb4
widebvh,1047968,5,0.05,98.876,2.445,28.979,156.522,188.214,287.697,21883866,287.75,237.939,105128024.0,NVIDIA H200,ac78eb4
widebvh,1047968,6,0.06,98.858,2.407,28.741,155.092,186.53,285.999,21663040,286.056,237.77,106688920.0,NVIDIA H200,ac78eb4
widebvh,1047968,7,0.07,98.692,2.39,28.439,153.755,184.853,284.142,21463432,284.196,237.565,108138024.0,NVIDIA H200,ac78eb4
widebvh,1047968,8,0.08,98.509,2.403,28.155,152.052,182.875,281.988,21241740,282.044,237.325,109471320.0,NVIDIA H200,ac78eb4
widebvh,1047968,9,0.09,99.166,2.428,28.011,151.278,181.981,281.728,21088892,281.785,237.051,110720224.0,NVIDIA H200,ac78eb4
widebvh,1047968,10,0.1,99.992,2.46,27.946,150.998,181.671,282.785,21056956,282.847,236.743,112290864.0,NVIDIA H200,ac78eb4
widebvh,1047968,11,0.11,99.539,2.471,27.911,151.465,182.113,282.24,21098608,282.296,236.403,113757616.0,NVIDIA H200,ac78eb4
widebvh,1047968,12,0.12,99.51,2.427,28.055,151.902,182.647,282.768,21163722,282.826,236.033,115367568.0,NVIDIA H200,ac78eb4
widebvh,1047968,13,0.13,100.207,2.418,28.096,152.301,183.088,283.888,21214334,283.949,235.632,117011568.0,NVIDIA H200,ac78eb4
widebvh,1047968,14,0.14,100.43,2.397,28.178,152.293,183.148,284.189,21223832,284.244,235.204,118539136.0,NVIDIA H200,ac78eb4
widebvh,1047968,15,0.15,100.178,2.428,28.084,152.158,182.938,283.721,21201480,283.777,234.749,119950984.0,NVIDIA H200,ac78eb4
widebvh,1047968,16,0.16,101.371,2.412,28.067,151.83,182.582,284.551,21146984,284.606,234.27,121248928.0,NVIDIA H200,ac78eb4
widebvh,1047968,17,0.17,101.798,2.41,27.926,151.091,181.692,284.096,21049600,284.152,233.767,122436728.0,NVIDIA H200,ac78eb4
widebvh,1047968,18,0.18,102.719,2.712,27.757,150.214,181.015,284.567,20911460,284.631,233.243,123927904.0,NVIDIA H200,ac78eb4
widebvh,1047968,19,0.19,102.684,2.412,27.561,149.019,179.26,282.575,20747954,282.63,232.7,125462424.0,NVIDIA H200,ac78eb4
widebvh,1047968,20,0.2,102.832,2.396,27.288,147.872,177.825,281.26,20568034,281.315,232.139,126894944.0,NVIDIA H200,ac78eb4
widebvh,1047968,21,0.21,102.086,3.304,27.069,146.593,177.246,279.933,20385206,279.99,231.562,128239272.0,NVIDIA H200,ac78eb4
widebvh,1047968,22,0.22,103.124,2.353,27.135,145.525,175.318,279.076,20206860,279.146,230.973,129684512.0,NVIDIA H200,ac78eb4
widebvh,1047968,23,0.23,102.016,2.501,26.663,144.32,173.76,276.386,20036044,276.447,230.372,131273048.0,NVIDIA H200,ac78eb4
widebvh,1047968,24,0.24,102.462,2.43,26.409,143.16,172.266,275.336,19874684,275.401,229.763,132824648.0,NVIDIA H200,ac78eb4
widebvh,1047968,25,0.25,102.466,2.43,26.228,142.152,171.071,274.151,19727494,274.213,229.147,134298160.0,NVIDIA H200,ac78eb4
widebvh,1047968,26,0.26,102.932,2.375,26.038,141.352,170.033,273.586,19596586,273.642,228.526,135702192.0,NVIDIA H200,ac78eb4
widebvh,1047968,27,0.27,103.964,2.396,25.975,140.568,169.211,273.776,19489902,273.831,227.904,137046288.0,NVIDIA H200,ac78eb4
