backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha,label,mac,max_leaf,pdeg,fp32_level,hilbert_q,pair_budget_gb
widebvh,1047968,0,0.0,328.25,10.267,662.717,1513.145,2187.01,2516.306,21166894,2516.359,238.229,95863408.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,1,0.01,360.822,11.657,642.945,1530.18,2185.564,2547.337,21469806,2547.376,238.246,97852384.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,2,0.02,356.25,12.405,654.766,1558.215,2226.286,2583.559,21835278,2583.583,238.226,99814664.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,3,0.03,358.457,11.741,661.741,1574.265,2248.616,2608.38,22042158,2608.431,238.168,101685600.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,4,0.04,358.796,12.104,663.484,1574.334,2250.731,2610.976,22085566,2611.031,238.072,103458432.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,5,0.05,362.188,12.167,657.104,1556.999,2227.082,2590.196,21883848,2590.218,237.939,105128032.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,6,0.06,381.204,12.586,642.533,1549.607,2205.822,2588.195,21663008,2588.219,237.77,106688936.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,7,0.07,370.649,11.829,646.184,1537.132,2195.955,2567.566,21463452,2567.591,237.565,108138048.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,8,0.08,365.784,11.618,638.269,1516.153,2166.855,2533.71,21241704,2533.736,237.325,109471336.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,9,0.09,368.605,11.886,633.019,1508.807,2154.498,2524.052,21088886,2524.084,237.051,110720224.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,10,0.1,368.071,12.302,634.661,1510.315,2158.2,2527.357,21056954,2527.387,236.743,112290904.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,11,0.11,366.9,11.995,635.999,1512.008,2160.805,2528.732,21098596,2528.763,236.403,113757640.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,12,0.12,366.606,11.623,636.695,1517.836,2166.978,2534.598,21163772,2534.632,236.033,115367528.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,13,0.13,366.825,11.933,639.997,1526.01,2178.754,2546.511,21214334,2546.539,235.632,117011536.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,14,0.14,367.584,11.76,639.919,1522.794,2175.303,2544.421,21223834,2544.453,235.204,118539112.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
