kernel,batch,mode,protocol,n_warmup,n_iter,throughput_per_sec,dtype,matmul_precision,peak_vram_gb,gpu,torch_version,git_sha
rpy,16384,eager,matched,10,50,34860808.10159986,float32,highest,0.0455327033996582,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,24064,eager,matched,10,50,51496832.31086349,float32,highest,0.06780672073364258,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,32768,eager,matched,10,50,70378391.12953508,float32,highest,0.0924077033996582,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,65536,eager,matched,10,50,139461275.85471824,float32,highest,0.1821293830871582,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,131072,eager,matched,10,50,244145514.1650597,float32,highest,0.3642582893371582,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,262144,eager,matched,10,50,270344297.9500099,float32,highest,0.7285161018371582,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,524288,eager,matched,10,50,291730402.1053654,float32,highest,1.4570317268371582,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,1048576,eager,matched,10,50,298002133.4548016,float32,highest,2.914062976837158,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,2097152,eager,matched,10,50,300906012.2021995,float32,highest,5.828125476837158,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,4194304,eager,matched,10,50,299182252.47116756,float32,highest,11.656250476837158,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,16384,compile,matched,10,50,179226519.88480175,float32,highest,0.07232666015625,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,24064,compile,matched,10,50,268897960.4920463,float32,highest,0.03307914733886719,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,32768,compile,matched,10,50,372621102.162184,float32,highest,0.0450439453125,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,65536,compile,matched,10,50,737757493.6151606,float32,highest,0.090087890625,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,131072,compile,matched,10,50,1004803217.2663705,float32,highest,0.18017578125,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,262144,compile,matched,10,50,1099266799.07451,float32,highest,0.3603515625,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,524288,compile,matched,10,50,1155532878.5994337,float32,highest,0.720703125,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,1048576,compile,matched,10,50,1177762851.153859,float32,highest,1.44140625,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,2097152,compile,matched,10,50,1205732091.4829872,float32,highest,2.8828125,NVIDIA H200,2.8.0+cu128,ac78eb4
rpy,4194304,compile,matched,10,50,1214363612.35635,float32,highest,5.765625,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,16384,eager,published,1,3,792408.5811522662,float32,high,0.03788042068481445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,24064,eager,published,1,3,1115490.339494042,float32,high,0.04164934158325195,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,32768,eager,published,1,3,1520804.8380020685,float32,high,0.04447221755981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,65536,eager,published,1,3,3024652.1918097143,float32,high,0.05936479568481445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,131072,eager,published,1,3,6044685.691191146,float32,high,0.08451128005981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,262144,eager,published,1,3,11968734.184558172,float32,high,0.13675737380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,524288,eager,published,1,3,26117909.80739035,float32,high,0.24222612380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,1048576,eager,published,1,3,78735039.6253259,float32,high,0.45316362380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,2097152,eager,published,1,3,73831125.48844196,float32,high,0.8750386238098145,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,4194304,eager,published,1,3,81479772.71096504,float32,high,1.7187886238098145,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,16384,eager,matched,10,50,27925799.486941617,float32,high,0.03788042068481445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,24064,eager,matched,10,50,38574824.32685048,float32,high,0.04164934158325195,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,32768,eager,matched,10,50,48185467.28703544,float32,high,0.04447221755981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,65536,eager,matched,10,50,78965735.79849261,float32,high,0.05936479568481445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,131072,eager,matched,10,50,114101067.90911588,float32,high,0.08451128005981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,262144,eager,matched,10,50,142883203.60221446,float32,high,0.13675737380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,524288,eager,matched,10,50,159814000.24093214,float32,high,0.24222612380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,1048576,eager,matched,10,50,78395622.66174605,float32,high,0.45316362380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,2097152,eager,matched,10,50,76868207.80095653,float32,high,0.8750386238098145,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,4194304,eager,matched,10,50,82470827.44600111,float32,high,1.7187886238098145,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,16384,compile,published,1,3,182189.37454993156,float32,high,0.09842729568481445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,24064,compile,published,1,3,246098.5849776491,float32,high,0.10311174392700195,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,32768,compile,published,1,3,82330556.42956783,float32,high,0.04227495193481445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,65536,compile,published,1,3,179057496.21847162,float32,high,0.05374956130981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,131072,compile,published,1,3,334713460.8415268,float32,high,0.07523393630981445,NVIDIA H200,2.8.0+cu128,ac78eb4
