backend,n,operator,far_ms,self2b_ms,nbody_ms,nsearch_ms,total_sum_ms,total_gpu_ms,unaccounted_ms,overall_near_ms,near_pairs,peak_vram_gb,mac,theta,pdeg,max_leaf,gpu,git_sha,source
warp-published,10000,FMM_2body_RPY,7.3134999999999994,0.8960000000000001,0.0,0.5834999999999999,8.793,9.3755,0.5825000000000014,1.4795,203408,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,10000,FMM_2body_NN,7.3165,1.0679999999999998,0.0,0.5885,8.972999999999999,9.535,0.5620000000000012,1.6564999999999999,203408,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,10000,FMM_Nbody_NN,7.3345,0.9695,1.9340000000000002,0.583,10.821,11.5815,0.7605000000000004,3.6605,203408,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,50000,FMM_2body_RPY,10.7455,1.6480000000000001,0.0,0.634,13.0275,13.626,0.5984999999999996,2.282,1034974,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,50000,FMM_2body_NN,10.723,2.155,0.0,0.64,13.518,14.092500000000001,0.5745000000000005,2.795,1034974,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,50000,FMM_Nbody_NN,10.986,2.0214999999999996,7.018,0.6425000000000001,20.668,21.618000000000002,0.9500000000000028,9.869,1034974,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,100000,FMM_2body_RPY,18.698,2.5679999999999996,0.0,0.6935,21.9595,22.546,0.5865000000000009,3.2615,2074980,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,100000,FMM_2body_NN,18.2485,3.503,0.0,0.6875,22.439,23.0475,0.6084999999999994,4.1905,2074980,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,100000,FMM_Nbody_NN,18.5165,3.349,13.397,0.6955,35.958000000000006,36.9245,0.9664999999999964,17.642,2074980,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,200000,FMM_2body_RPY,47.611,4.498,0.0,0.941,53.05,53.557,0.507000000000005,5.439,4158018,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,200000,FMM_2body_NN,47.2745,6.208500000000001,0.0,0.94,54.423,55.0645,0.6415000000000006,7.1485,4158018,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,200000,FMM_Nbody_NN,47.416,6.0675,26.543,0.9704999999999999,80.997,82.04050000000001,1.0435000000000088,33.801,4158018,,,0.3,,,NVIDIA H200,archived,archived_log
warp-published,1000000,FMM_2body_RPY,223.99599999999998,23.643,0.0,2.6135,250.25249999999997,251.2345,0.9820000000000277,26.256500000000003,20881556,,,0.3,,,NVIDIA H200,archived,archived_log
