backend,n,operator,far_ms,self2b_ms,nbody_ms,nsearch_ms,total_sum_ms,total_gpu_ms,unaccounted_ms,overall_near_ms,near_pairs,peak_vram_gb,peak_total_gb,mac,theta,pdeg,max_leaf,gpu,git_sha,source
widebvh,10000,FMM_2body_RPY,7.5705,0.9179999999999998,0.0,0.672,9.1605,9.746,0.5854999999999997,1.5899999999999999,203408,0.192060546875,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,10000,FMM_2body_NN,7.651,0.6275,0.0,0.6655,8.943999999999999,9.48,0.5360000000000014,1.293,203408,0.03517578125,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,10000,FMM_Nbody_NN,7.7065,0.4915,2.3875,0.6625000000000001,11.248,11.988,0.7400000000000002,3.7235,203408,0.229482421875,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,50000,FMM_2body_RPY,10.977,1.6135000000000002,0.0,0.699,13.2895,13.851,0.5615000000000006,2.3125,1034974,0.848095703125,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,50000,FMM_2body_NN,10.9475,0.7214999999999998,0.0,0.6995,12.368500000000001,12.9435,0.5749999999999993,1.4209999999999998,1034974,0.048369140625,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,50000,FMM_Nbody_NN,11.0545,0.5805,8.066500000000001,0.7064999999999999,20.408,21.143,0.7349999999999994,9.553,1034974,1.037158203125,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,100000,FMM_2body_RPY,14.883,2.543,0.0,0.7575000000000001,18.1835,18.7495,0.5660000000000025,3.3005,2074980,1.66513671875,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,100000,FMM_2body_NN,14.775500000000001,0.8494999999999999,0.0,0.7364999999999999,16.3615,16.9375,0.5760000000000005,1.5859999999999999,2074980,0.064873046875,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,100000,FMM_Nbody_NN,14.939,0.713,15.729500000000002,0.747,32.1285,32.9005,0.7719999999999985,17.389499999999998,2074980,1.974716796875,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,200000,FMM_2body_RPY,22.632,4.4435,0.0,0.9335,28.009,28.591500000000003,0.5825000000000031,5.377,4158018,3.302275390625,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,200000,FMM_2body_NN,22.5365,1.118,0.0,0.9235,24.578,25.1355,0.557500000000001,2.0415,4158018,0.098173828125,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,200000,FMM_Nbody_NN,22.778,0.982,31.243,0.929,55.932,56.7415,0.8094999999999999,33.354,4158018,2.055537109375,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,1000000,FMM_2body_RPY,91.519,23.267,0.0,2.6295,117.41550000000001,118.1,0.6844999999999857,25.8965,20881556,16.44560546875,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,1000000,FMM_2body_NN,91.32900000000001,3.3600000000000003,0.0,2.6369999999999996,97.32600000000001,97.9435,0.6174999999999926,5.997,20881556,0.365048828125,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
widebvh,1000000,FMM_Nbody_NN,91.50200000000001,3.197,157.6385,2.64,254.9775,255.95299999999997,0.9754999999999825,163.7405,20881556,2.341396484375,,0.8,nan,7,1024,NVIDIA H200,2dbd6a7,measured
