backend,n,total_ms,std_ms,min_ms,far_ms,near_ms,updates_per_sec,peak_vram_gb,mac,theta,pdeg,order,max_leaf,gpu,git_sha
widebvh,50000,22.50490803271532,0.04891326725588669,22.448452189564705,11.140640258789062,11.364267773926258,2221737.5839668014,1.0056347846984863,0.8,nan,7,,1024,NVIDIA H200,ac78eb4
widebvh,100000,34.910712080697216,0.030194993202765197,34.8796583712101,14.754655838012695,20.15605624268452,2864450.308800543,2.0460643768310547,0.8,nan,7,,1024,NVIDIA H200,ac78eb4
widebvh,200000,60.45406777411699,0.059432575446177756,60.386418364942074,22.504671096801758,37.949396677315235,3308296.8171354164,4.069967746734619,0.8,nan,7,,1024,NVIDIA H200,ac78eb4
widebvh,500000,139.0248959263166,0.05589674020377955,138.9656700193882,46.36540985107422,92.65948607524237,3596478.1463674014,7.841639518737793,0.8,nan,7,,1024,NVIDIA H200,ac78eb4
widebvh,750000,206.26744286467633,0.044409754550435235,206.2162570655346,67.88700866699219,138.38043419768414,3636056.1297695655,7.931697845458984,0.8,nan,7,,1024,NVIDIA H200,ac78eb4
warp,50000,22.032530667881172,0.01532617888158751,22.01540395617485,10.753012883166472,11.2795177847147,2269371.628420768,1.00339937210083,,0.3,,,,NVIDIA H200,ac78eb4
warp,100000,38.24771847575903,0.2143607880004294,38.121902383863926,18.53796746581793,19.7097510099411,2614535.0359493694,2.0123157501220703,,0.3,,,,NVIDIA H200,ac78eb4
warp,200000,85.1405259842674,0.04576882100271792,85.08775942027569,47.36381365607182,37.77671232819558,2349057.6043300084,4.029339790344238,,0.3,,,,NVIDIA H200,ac78eb4
warp,500000,176.33601650595665,0.07673996069935234,176.2831937521696,83.34290981292725,92.9931066930294,2835495.606101037,7.786071300506592,,0.3,,,,NVIDIA H200,ac78eb4
warp,750000,283.35759074737626,0.08769681284840913,283.2756480202079,145.00279165804386,138.3547990893324,2646832.2165706605,7.863663673400879,,0.3,,,,NVIDIA H200,ac78eb4
widebvh-cart,50000,24.584609394272167,0.016867208457545337,24.565545842051506,13.24169635772705,11.342913036545117,2033792.7358589324,1.0056347846984863,0.33,nan,7,4,1024,NVIDIA H200,ac78eb4
widebvh-cart,100000,39.09227065742016,0.023871118099418734,39.07153755426407,19.008384704589844,20.083885952830315,2558050.4360142318,2.0161166191101074,0.33,nan,7,4,1024,NVIDIA H200,ac78eb4
widebvh-cart,200000,70.2070804933707,0.03342436653014387,70.17870340496302,32.316001892089844,37.89107860128085,2848715.5226300145,4.038503170013428,0.33,nan,7,4,1024,NVIDIA H200,ac78eb4
widebvh-cart,500000,167.63534117490053,0.04583036456445195,167.59551502764225,77.58793640136719,90.04740477353334,2982664.61293702,7.809667110443115,0.33,nan,7,4,1024,NVIDIA H200,ac78eb4
widebvh-cart,750000,257.71067291498184,0.2506256669028154,257.4339611455798,118.98863983154297,138.72203308343887,2910240.3541021496,7.899633884429932,0.33,nan,7,4,1024,NVIDIA H200,ac78eb4
