backend,n,total_ms,std_ms,min_ms,far_ms,near_ms,updates_per_sec,peak_vram_gb,mac,theta,pdeg,order,max_leaf,gpu,git_sha
widebvh,50000,21.765211597085,0.15973021890941186,21.670933812856674,10.653120040893555,11.112091556191444,2297243.9195903093,1.0056347846984863,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
widebvh,100000,32.96898429592451,0.10643053740362389,32.89730940014124,12.586400032043457,20.38258426388105,3033153.8000205117,1.942976951599121,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
widebvh,200000,56.972436606884,0.006931281588907738,56.96562957018614,18.181856155395508,38.790580451488495,3510469.4815849587,2.023953437805176,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
widebvh,500000,128.5934957365195,0.1769806987070428,128.46296094357967,33.25449752807617,95.33899820844331,3888221.5397928883,2.1326913833618164,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
widebvh,750000,189.36481699347496,0.10081304944918489,189.29479457437992,47.10383987426758,142.26097711920738,3960609.008091736,2.223543167114258,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
widebvh,1000000,252.03373686720929,0.008197312873073466,252.0248368382454,61.535552978515625,190.49818388869366,3967722.78358463,2.30983304977417,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
widebvh,1250000,315.82948192954063,0.04334456604139366,315.7804124057293,77.44617462158203,238.3833073079586,3957831.904618918,2.6086645126342773,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
widebvh,1500000,379.5077931135893,0.02613408177732702,379.4852942228317,93.40083312988281,286.1069599837065,3952488.004774752,3.1304893493652344,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
widebvh,1750000,440.90434287985164,0.2855933528679132,440.62410946935415,109.05955505371094,331.8447878261407,3969114.907259788,3.649623394012451,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
widebvh,2000000,503.5767965018749,0.3128738353566207,503.2418295741081,123.75270080566406,379.82409569621086,3971588.869648313,4.1710381507873535,0.8,nan,7,0,1024,NVIDIA H200,ac78eb4-dirty
