volume_fraction,num_particles,M_rpy,M_2b,M_3b,M_nbody,mfs_coarse
0.025,200,4.1283,2.5827,2.25327,2.12668,0.34585
0.05,200,7.22395,5.17431,4.1836,3.93746,0.50141
0.075,200,9.94482,7.65436,5.96439,5.84194,0.61944
0.1,200,12.76857,10.16402,7.53981,7.47803,0.71953
0.125,200,16.03879,13.2751,9.50338,10.08488,0.85119
0.15,200,18.76377,15.72282,10.86946,11.64398,0.99137
0.175,200,22.24553,18.95331,12.6875,14.39019,1.1811
0.2,200,24.62596,21.09583,13.77104,16.12664,1.3653
0.025,300,4.12885,2.72537,2.38938,2.28687,0.30013
0.05,300,7.4344,5.50537,4.51599,4.30166,0.4956
0.075,300,10.12922,8.01081,6.27493,6.1976,0.59259
0.1,300,12.80657,10.33427,7.85051,7.9359,0.7382
0.125,300,15.67325,12.88263,9.3418,9.75491,0.84596
0.15,300,18.60583,15.70797,11.18489,12.17345,0.93443
0.175,300,21.85554,18.75855,12.95331,14.63421,1.09843
0.2,300,25.89224,22.71616,15.51864,18.10244,1.30984
