case,N,engine,rel_l2_vs_torch,prmse_lin,wall_s,epsilon,max_iter
uniform_N200_phi0.1_seed4423_grav,200,torch_dense(src/hignn_ops.py),0.0,4.286874788325784,0.14588332176208496,,
uniform_N200_phi0.1_seed4423_grav,200,dense,2.7513277232565874e-08,4.2868742894920695,1.8580341339111328,,
uniform_N200_phi0.1_seed4423_grav,200,aca_eps0.05_it100,0.000168791761299714,4.288988482073628,11.710901260375977,0.05,100.0
uniform_N200_phi0.1_seed4423_grav,200,aca_eps0.1_it15,0.000168791761299714,4.288988482073628,11.699927806854248,0.1,15.0
uniform_N200_phi0.1_seed4423_grav,200,aca_eps0.01_it50,0.000168791761299714,4.288988482073628,11.686737537384033,0.01,50.0
uniform_N200_phi0.1_seed4424_grav,200,torch_dense(src/hignn_ops.py),0.0,4.077286171433759,0.0031518936157226562,,
uniform_N200_phi0.1_seed4424_grav,200,dense,2.8088425924575852e-08,4.077285814932111,1.9078447818756104,,
uniform_N200_phi0.1_seed4424_grav,200,aca_eps0.05_it100,0.00012691288916496084,4.080603441617406,11.840810537338257,0.05,100.0
uniform_N200_phi0.1_seed4424_grav,200,aca_eps0.1_it15,0.00012691288916496084,4.080603441617406,11.82227110862732,0.1,15.0
uniform_N200_phi0.1_seed4424_grav,200,aca_eps0.01_it50,0.00012691288916496084,4.080603441617406,11.819622278213501,0.01,50.0
uniform_N200_phi0.025_seed1423_grav,200,torch_dense(src/hignn_ops.py),0.0,1.3454972251475585,0.0027856826782226562,,
uniform_N200_phi0.025_seed1423_grav,200,dense,3.261331427273881e-08,1.345496684312154,1.8590242862701416,,
uniform_N200_phi0.025_seed1423_grav,200,aca_eps0.05_it100,0.0001586260197280698,1.3437628122868255,11.693617343902588,0.05,100.0
uniform_N200_phi0.025_seed1423_grav,200,aca_eps0.1_it15,0.0001586260197280698,1.3437628122868255,11.679497241973877,0.1,15.0
uniform_N200_phi0.025_seed1423_grav,200,aca_eps0.01_it50,0.0001586260197280698,1.3437628122868255,11.6764817237854,0.01,50.0
uniform_N1000_phi0.05_seed2723_grav,1000,torch_dense(src/hignn_ops.py),0.0,1.8901551841190967,0.06457734107971191,,
uniform_N1000_phi0.05_seed2723_grav,1000,dense,2.6050021947277508e-08,1.8901550128827516,51.29525136947632,,
uniform_N1000_phi0.05_seed2723_grav,1000,aca_eps0.05_it100,0.00040061753707710157,1.8871254723860742,38.519270181655884,0.05,100.0
uniform_N1000_phi0.05_seed2723_grav,1000,aca_eps0.1_it15,0.000570114037868053,1.8901493024860565,38.99795722961426,0.1,15.0
uniform_N1000_phi0.05_seed2723_grav,1000,aca_eps0.01_it50,0.00019207366424176979,1.8872193901594112,39.347930669784546,0.01,50.0
uniform_N3000_phi0.1_seed5123_grav,3000,torch_dense(src/hignn_ops.py),0.0,3.5084170993985437,0.590573787689209,,
uniform_N3000_phi0.1_seed5123_grav,3000,dense,3.021684643520329e-08,3.5084168701590945,493.6507670879364,,
uniform_N3000_phi0.1_seed5123_grav,3000,aca_eps0.05_it100,0.001545850985061055,3.529734411735174,181.46850776672363,0.05,100.0
uniform_N3000_phi0.1_seed5123_grav,3000,aca_eps0.1_it15,0.002801444705121759,3.525051049743286,179.92516446113586,0.1,15.0
uniform_N3000_phi0.1_seed5123_grav,3000,aca_eps0.01_it50,0.0004022333646639362,3.507088573026575,194.33392143249512,0.01,50.0
uniform_N10000_phi0.1_seed5423_grav,10000,torch_dense(src/hignn_ops.py),0.0,3.4387676095778734,6.745929479598999,,
uniform_N10000_phi0.1_seed5423_grav,10000,aca_eps0.05_it100,0.001571454832014792,3.437440496187252,849.1176145076752,0.05,100.0
