N,phi,seed,op,wall_s,rmse,rel_rmse,mae,rel_mae,max_rel_rmse,prmse_lin,prmse_ang
200,0.05,123,M_2b,17.926,0.00164877,4.33692,0.00356801,3.96655,16.3311,4.63037,2.67737
200,0.05,124,M_2b,12.933,0.002481,5.19935,0.00529287,4.7093,12.3265,5.33989,3.90036
200,0.05,125,M_2b,18.0086,0.00197398,5.7637,0.0041284,5.1213,29.6913,6.24187,3.5107
200,0.05,123,M_mom_k10_rc6,17.6894,0.00117502,3.09078,0.00262114,2.91391,8.66602,3.32041,1.74365
200,0.05,124,M_mom_k10_rc6,17.8815,0.00189855,3.97873,0.00412152,3.6671,10.6096,4.1088,2.72678
200,0.05,125,M_mom_k10_rc6,17.7672,0.00148541,4.33716,0.00322409,3.9995,15.7392,4.73555,2.37801
200,0.05,123,M_mom_kinf_rc6,17.6375,0.00116167,3.05565,0.00259121,2.88064,8.58721,3.28271,1.72357
200,0.05,124,M_mom_kinf_rc6,17.8537,0.00188767,3.95593,0.00410606,3.65334,10.6096,4.08755,2.6833
200,0.05,125,M_mom_kinf_rc6,17.7407,0.00148939,4.34876,0.00322342,3.99867,14.9581,4.75198,2.35688
200,0.05,123,M_mom_kinf_rc8,17.5988,0.00122778,3.22956,0.00272081,3.02472,10.3037,3.43877,2.06369
200,0.05,124,M_mom_kinf_rc8,17.8016,0.00183309,3.84155,0.00395746,3.52113,17.31,3.94786,2.85454
200,0.05,125,M_mom_kinf_rc8,17.7291,0.00149852,4.37542,0.00321869,3.99281,16.3143,4.72375,2.75822
200,0.05,123,M_nbody_b1,18.6283,0.00128442,3.37854,0.00281737,3.13207,10.3353,3.61597,2.01697
200,0.05,124,M_nbody_b1,19.0087,0.00199422,4.17923,0.00430214,3.8278,11.6578,4.30531,2.98815
200,0.05,125,M_nbody_b1,18.8306,0.00156383,4.56613,0.00336647,4.17613,19.2879,4.9387,2.82133
200,0.05,123,M_nbody_b1_retrained,18.6334,0.00126014,3.31469,0.00278371,3.09464,10.0563,3.54573,1.99386
200,0.05,124,M_nbody_b1_retrained,19.305,0.00199227,4.17514,0.00430704,3.83216,10.8783,4.29986,2.99938
200,0.05,125,M_nbody_b1_retrained,18.8176,0.00156461,4.5684,0.00336277,4.17154,17.8849,4.93956,2.83286
200,0.1,123,M_2b,17.6693,0.00384489,13.4704,0.00843082,12.3444,56.7293,15.446,7.04748
200,0.1,124,M_2b,17.9552,0.00446601,13.639,0.00983396,12.6384,47.1843,14.9909,7.82351
200,0.1,125,M_2b,18.1169,0.00396726,12.3481,0.00868738,11.3633,48.2617,13.5549,7.28948
200,0.1,123,M_mom_k10_rc6,17.6333,0.00263332,9.22573,0.00586509,8.58767,39.894,10.6894,4.22724
200,0.1,124,M_mom_k10_rc6,17.5715,0.00317301,9.69024,0.0070635,9.07783,28.1762,10.7854,4.64619
200,0.1,125,M_mom_k10_rc6,18.2252,0.00266181,8.28487,0.00593764,7.76654,27.9337,9.2019,4.20497
200,0.1,123,M_mom_kinf_rc6,17.8705,0.00254157,8.90428,0.00563937,8.25717,45.5883,10.3176,4.07599
