table,coef,P,S_over_R,value
B9,M_par,3,0,1.93
B9,M_par,3,0.5,1.80381
B9,M_par,3,1,1.6961
B9,M_par,3,2,1.5421
B9,M_par,3,5,1.31853
B9,M_par,3,10,1.18704
B9,M_par,3,100,1.02206
B9,M_par,3,1000,1.00225
B9,M_par,4,0,2.27
B9,M_par,4,0.5,2.0979
B9,M_par,4,1,1.9471
B9,M_par,4,2,1.7353
B9,M_par,4,5,1.4314
B9,M_par,4,10,1.25322
B9,M_par,4,100,1.02986
B9,M_par,4,1000,1.00304
B9,M_par,5,0,2.55
B9,M_par,5,0.5,2.32716
B9,M_par,5,1,2.14
B9,M_par,5,2,1.8816
B9,M_par,5,5,1.516
B9,M_par,5,10,1.30275
B9,M_par,5,100,1.03569
B9,M_par,5,1000,1.00363
B9,M_par,10,0,3.43
B9,M_par,10,0.5,3.0209
B9,M_par,10,1,2.7181
B9,M_par,10,2,2.3149
B9,M_par,10,5,1.7633
B9,M_par,10,10,1.44697
B9,M_par,10,100,1.05266
B9,M_par,10,1000,1.00536
B9,M_par,20,0,4.26
B9,M_par,20,0.5,3.685
B9,M_par,20,1,3.2702
B9,M_par,20,2,2.7261
B9,M_par,20,5,1.996
B9,M_par,20,10,1.5823
B9,M_par,20,100,1.06856
B9,M_par,20,1000,1.00698
B9,M_par,50,0,5.3
B9,M_par,50,0.5,4.5395
B9,M_par,50,1,3.9783
B9,M_par,50,2,3.253
B9,M_par,50,5,2.295
B9,M_par,50,10,1.75616
B9,M_par,50,100,1.08901
B9,M_par,50,1000,1.00906
B9,M_par,100,0,6.1
B9,M_par,100,0.5,5.174
B9,M_par,100,1,4.505
B9,M_par,100,2,3.646
B9,M_par,100,5,2.5183
B9,M_par,100,10,1.88651
B9,M_par,100,100,1.10434
B9,M_par,100,1000,1.01062
B9,M_par,200,0,6.9
B9,M_par,200,0.5,5.803
B9,M_par,200,1,5.027
B9,M_par,200,2,4.037
B9,M_par,200,5,2.7414
B9,M_par,200,10,2.01659
B9,M_par,200,100,1.11964
B9,M_par,200,1000,1.01218
B9,M_par,500,0,7.97
B9,M_par,500,0.5,6.63
B9,M_par,500,1,5.716
B9,M_par,500,2,4.5529
B9,M_par,500,5,3.036
B9,M_par,500,10,2.18843
B9,M_par,500,100,1.13986
B9,M_par,500,1000,1.01424
B9,M_par,1000,0,8.753
B9,M_par,1000,0.5,7.2543
B9,M_par,1000,1,6.2357
B9,M_par,1000,2,4.9428
B9,M_par,1000,5,3.25881
B9,M_par,1000,10,2.3184
B9,M_par,1000,100,1.15515
B9,M_par,1000,1000,1.01579
B9,M_perp,3,0,1.8
B9,M_perp,3,0.5,1.65357
B9,M_perp,3,1,1.5342
B9,M_perp,3,2,1.3902
B9,M_perp,3,5,1.21719
B9,M_perp,3,10,1.12558
B9,M_perp,3,100,1.01471
B9,M_perp,3,1000,1.0015
B9,M_perp,4,0,2.1
B9,M_perp,4,0.5,1.87879
B9,M_perp,4,1,1.7181
B9,M_perp,4,2,1.5257
B9,M_perp,4,5,1.29347
B9,M_perp,4,10,1.16987
B9,M_perp,4,100,1.0199
B9,M_perp,4,1000,1.00203
B9,M_perp,5,0,2.31
B9,M_perp,5,0.5,2.0423
B9,M_perp,5,1,1.8528
B9,M_perp,5,2,1.6258
B9,M_perp,5,5,1.35032
B9,M_perp,5,10,1.20297
B9,M_perp,5,100,1.02379
B9,M_perp,5,1000,1.00242
B9,M_perp,10,0,2.9
B9,M_perp,10,0.5,2.50105
B9,M_perp,10,1,2.23606
B9,M_perp,10,2,1.914
B9,M_perp,10,5,1.51514
B9,M_perp,10,10,1.29911
B9,M_perp,10,100,1.0351
B9,M_perp,10,1000,1.00357
B9,M_perp,20,0,3.429
B9,M_perp,20,0.5,2.92746
B9,M_perp,20,1,2.59384
B9,M_perp,20,2,2.1836
B9,M_perp,20,5,1.66957
B9,M_perp,20,10,1.3892
B9,M_perp,20,100,1.04571
B9,M_perp,20,1000,1.00465
B9,M_perp,50,0,4.1156
B9,M_perp,50,0.5,3.48019
B9,M_perp,50,1,3.05577
B9,M_perp,50,2,2.5307
B9,M_perp,50,5,1.8681
B9,M_perp,50,10,1.5051
B9,M_perp,50,100,1.05934
B9,M_perp,50,1000,1.00604
B9,M_perp,100,0,4.635
B9,M_perp,100,0.5,3.897
B9,M_perp,100,1,3.403
B9,M_perp,100,2,2.7913
B9,M_perp,100,5,2.017
B9,M_perp,100,10,1.5919
B9,M_perp,100,100,1.06956
B9,M_perp,100,1000,1.00708
B9,M_perp,200,0,5.1547
B9,M_perp,200,0.5,4.3125
B9,M_perp,200,1,3.7497
B9,M_perp,200,2,3.0514
B9,M_perp,200,5,2.1657
B9,M_perp,200,10,1.6787
B9,M_perp,200,100,1.07976
B9,M_perp,200,1000,1.00812
B9,M_perp,500,0,5.84187
B9,M_perp,500,0.5,4.8624
B9,M_perp,500,1,4.208
B9,M_perp,500,2,3.3951
B9,M_perp,500,5,2.3621
B9,M_perp,500,10,1.7932
B9,M_perp,500,100,1.09324
B9,M_perp,500,1000,1.00949
B9,M_perp,1000,0,6.36173
B9,M_perp,1000,0.5,5.2782
B9,M_perp,1000,1,4.5545
B9,M_perp,1000,2,3.655
B9,M_perp,1000,5,2.5106
B9,M_perp,1000,10,1.8799
B9,M_perp,1000,100,1.10343
B9,M_perp,1000,1000,1.01053
B10,M_par,3,0.1,1.90508
B10,M_par,3,0.2,1.87988
B10,M_par,3,0.5,1.80381
B10,M_par,3,1,1.6961
B10,M_par,3,2,1.5421
B10,M_par,3,5,1.31853
B10,M_par,3,10,1.18704
B10,M_par,3,1000,1.00225
B10,M_par,4,0.1,2.24243
B10,M_par,4,0.2,2.206
B10,M_par,4,0.5,2.0979
B10,M_par,4,1,1.94707
B10,M_par,4,2,1.73525
B10,M_par,4,5,1.43137
B10,M_par,4,10,1.25322
B10,M_par,4,1000,1.00304
B10,M_par,5,0.1,2.51123
B10,M_par,5,0.2,2.46383
B10,M_par,5,0.5,2.32716
B10,M_par,5,1,2.14
B10,M_par,5,2,1.88156
B10,M_par,5,5,1.516
B10,M_par,5,10,1.30275
B10,M_par,5,1000,1.00363
B10,M_par,6,0.1,2.73213
B10,M_par,6,0.2,2.67463
B10,M_par,6,0.5,2.51299
B10,M_par,6,1,2.2953
B10,M_par,6,2,1.99848
B10,M_par,6,5,1.58313
B10,M_par,6,10,1.34198
B10,M_par,6,1000,1.0041
B10,M_par,7,0.1,2.91814
B10,M_par,7,0.2,2.85162
B10,M_par,7,0.5,2.66833
B10,M_par,7,1,2.42473
B10,M_par,7,2,2.09557
B10,M_par,7,5,1.63862
B10,M_par,7,10,1.37435
B10,M_par,7,1000,1.00449
B10,M_par,8,0.1,3.07791
B10,M_par,8,0.2,3.00349
B10,M_par,8,0.5,2.80143
B10,M_par,8,1,2.53549
B10,M_par,8,2,2.17849
B10,M_par,8,5,1.68585
B10,M_par,8,10,1.40187
B10,M_par,8,1000,1.00482
B10,M_par,9,0.1,3.21748
B10,M_par,9,0.2,3.13615
B10,M_par,9,0.5,2.90386
B10,M_par,9,1,2.63222
B10,M_par,9,2,2.25081
B10,M_par,9,5,1.72694
B10,M_par,9,10,1.4258
B10,M_par,9,1000,1.00511
B10,M_par,10,0.1,3.34113
B10,M_par,10,0.2,3.25377
B10,M_par,10,0.5,3.02088
B10,M_par,10,1,2.71805
B10,M_par,10,2,2.31491
B10,M_par,10,5,1.76331
B10,M_par,10,10,1.44697
B10,M_par,10,1000,1.00536
B10,M_perp,3,0.1,1.77827
B10,M_perp,3,0.2,1.74703
B10,M_perp,3,0.5,1.65357
B10,M_perp,3,1,1.53416
B10,M_perp,3,2,1.39019
B10,M_perp,3,5,1.21719
B10,M_perp,3,10,1.12558
B10,M_perp,3,1000,1.0015
B10,M_perp,4,0.1,2.05466
B10,M_perp,4,0.2,2.00837
B10,M_perp,4,0.5,1.87879
B10,M_perp,4,1,1.71813
B10,M_perp,4,2,1.52566
B10,M_perp,4,5,1.29347
B10,M_perp,4,10,1.16987
B10,M_perp,4,1000,1.00203
B10,M_perp,5,0.1,2.25601
B10,M_perp,5,0.2,2.19789
B10,M_perp,5,0.5,2.04229
B10,M_perp,5,1,1.85276
B10,M_perp,5,2,1.62578
B10,M_perp,5,5,1.35032
B10,M_perp,5,10,1.20297
B10,M_perp,5,1000,1.00242
B10,M_perp,6,0.1,2.41042
B10,M_perp,6,0.2,2.34352
B10,M_perp,6,0.5,2.16893
B10,M_perp,6,1,1.9579
B10,M_perp,6,2,1.7045
B10,M_perp,6,5,1.39522
B10,M_perp,6,10,1.22914
B10,M_perp,6,1000,1.00274
B10,M_perp,7,0.1,2.53477
B10,M_perp,7,0.2,2.46123
B10,M_perp,7,0.5,2.27205
B10,M_perp,7,1,2.04399
B10,M_perp,7,2,1.76922
B10,M_perp,7,5,1.43223
B10,M_perp,7,10,1.25073
B10,M_perp,7,1000,1.00299
B10,M_perp,8,0.1,2.63882
B10,M_perp,8,0.2,2.56007
B10,M_perp,8,0.5,2.35909
B10,M_perp,8,1,2.11689
B10,M_perp,8,2,1.82414
B10,M_perp,8,5,1.46366
B10,M_perp,8,10,1.26907
B10,M_perp,8,1000,1.00321
B10,M_perp,9,0.1,2.72843
B10,M_perp,9,0.2,2.6454
B10,M_perp,9,0.5,2.43311
B10,M_perp,9,1,2.18015
B10,M_perp,9,2,1.87183
B10,M_perp,9,5,1.49099
B10,M_perp,9,10,1.28501
B10,M_perp,9,1000,1.0034
B10,M_perp,10,0.1,2.80726
B10,M_perp,10,0.2,2.7206
B10,M_perp,10,0.5,2.50105
B10,M_perp,10,1,2.23606
B10,M_perp,10,2,1.914
B10,M_perp,10,5,1.51515
B10,M_perp,10,10,1.29911
B10,M_perp,10,1000,1.00357
B10,M_o,3,0.1,-0.02784
B10,M_o,3,0.2,-0.04235
B10,M_o,3,0.5,-0.06475
B10,M_o,3,1,-0.07683
B10,M_o,3,2,-0.07471
B10,M_o,3,5,-0.05053
B10,M_o,3,10,-0.03072
B10,M_o,3,1000,-0.00037
B10,M_o,4,0.1,-0.02645
B10,M_o,4,0.2,-0.03828
B10,M_o,4,0.5,-0.05305
B10,M_o,4,1,-0.05866
B10,M_o,4,2,-0.05469
B10,M_o,4,5,-0.03619
B10,M_o,4,10,-0.02183
B10,M_o,4,1000,-0.00026
B10,M_o,5,0.1,-0.0257
B10,M_o,5,0.2,-0.03581
B10,M_o,5,0.5,-0.04449
B10,M_o,5,1,-0.04292
B10,M_o,5,2,-0.03466
B10,M_o,5,5,-0.0205
B10,M_o,5,10,-0.01198
B10,M_o,5,1000,-0.00014
B10,M_o,6,0.1,-0.02376
B10,M_o,6,0.2,-0.0316
B10,M_o,6,0.5,-0.03422
B10,M_o,6,1,-0.02653
B10,M_o,6,2,-0.01514
B10,M_o,6,5,-0.00564
B10,M_o,6,10,-0.00271
B10,M_o,6,1000,-3e-05
B10,M_o,7,0.1,-0.02038
B10,M_o,7,0.2,-0.02538
B10,M_o,7,0.5,-0.02195
B10,M_o,7,1,-0.00933
B10,M_o,7,2,0.00369
B10,M_o,7,5,0.00801
B10,M_o,7,10,0.0057
B10,M_o,7,1000,7e-05
B10,M_o,8,0.1,-0.01561
B10,M_o,8,0.2,-0.01734
B10,M_o,8,0.5,-0.0081
B10,M_o,8,1,0.00832
B10,M_o,8,2,0.02166
B10,M_o,8,5,0.02047
B10,M_o,8,10,0.0133
B10,M_o,8,1000,0.00017
B10,M_o,9,0.1,-0.00958
B10,M_o,9,0.2,-0.00777
B10,M_o,9,0.5,7e-05
B10,M_o,9,1,0.02604
B10,M_o,9,2,0.03871
B10,M_o,9,5,0.03184
B10,M_o,9,10,0.02019
B10,M_o,9,1000,0.00025
B10,M_o,10,0.1,-0.00243
B10,M_o,10,0.2,0.00303
B10,M_o,10,0.5,0.0225
B10,M_o,10,1,0.04355
B10,M_o,10,2,0.05482
B10,M_o,10,5,0.04227
B10,M_o,10,10,0.02645
B10,M_o,10,1000,0.00033
B10,N_tz,3,0.1,-0.2097
B10,N_tz,3,0.2,-0.21541
B10,N_tz,3,0.5,-0.19041
B10,N_tz,3,1,-0.14019
B10,N_tz,3,2,-0.0807
B10,N_tz,3,5,-0.0265
B10,N_tz,3,10,-0.00902
B10,N_tz,3,1000,-0.0
B10,N_tz,4,0.1,-0.25621
B10,N_tz,4,0.2,-0.25416
B10,N_tz,4,0.5,-0.21603
B10,N_tz,4,1,-0.15631
B10,N_tz,4,2,-0.08936
B10,N_tz,4,5,-0.02929
B10,N_tz,4,10,-0.00997
B10,N_tz,4,1000,-0.0
B10,N_tz,5,0.1,-0.27513
B10,N_tz,5,0.2,-0.26633
B10,N_tz,5,0.5,-0.21971
B10,N_tz,5,1,-0.15664
B10,N_tz,5,2,-0.08896
B10,N_tz,5,5,-0.02911
B10,N_tz,5,10,-0.00991
B10,N_tz,5,1000,-0.0
B10,N_tz,6,0.1,-0.2782
B10,N_tz,6,0.2,-0.26496
B10,N_tz,6,0.5,-0.21437
B10,N_tz,6,1,-0.15135
B10,N_tz,6,2,-0.08558
B10,N_tz,6,5,-0.02797
B10,N_tz,6,10,-0.00952
B10,N_tz,6,1000,-0.0
B10,N_tz,7,0.1,-0.27334
B10,N_tz,7,0.2,-0.25747
B10,N_tz,7,0.5,-0.20568
B10,N_tz,7,1,-0.1443
B10,N_tz,7,2,-0.08135
B10,N_tz,7,5,-0.02656
B10,N_tz,7,10,-0.00904
B10,N_tz,7,1000,-0.0
B10,N_tz,8,0.1,-0.26482
B10,N_tz,8,0.2,-0.24754
B10,N_tz,8,0.5,-0.19605
B10,N_tz,8,1,-0.13696
B10,N_tz,8,2,-0.07706
B10,N_tz,8,5,-0.02515
B10,N_tz,8,10,-0.00856
B10,N_tz,8,1000,-0.0
B10,N_tz,9,0.1,-0.25485
B10,N_tz,9,0.2,-0.23691
B10,N_tz,9,0.5,-0.18401
B10,N_tz,9,1,-0.12991
B10,N_tz,9,2,-0.073
B10,N_tz,9,5,-0.02381
B10,N_tz,9,10,-0.0081
B10,N_tz,9,1000,-0.0
B10,N_tz,10,0.1,-0.24454
B10,N_tz,10,0.2,-0.2264
B10,N_tz,10,0.5,-0.17746
B10,N_tz,10,1,-0.12335
B10,N_tz,10,2,-0.06924
B10,N_tz,10,5,-0.02258
B10,N_tz,10,10,-0.00768
B10,N_tz,10,1000,-0.0
B10,N_zt,3,0.1,0.17773
B10,N_zt,3,0.2,0.18439
B10,N_zt,3,0.5,0.16643
B10,N_zt,3,1,0.12721
B10,N_zt,3,2,0.07681
B10,N_zt,3,5,0.02623
B10,N_zt,3,10,0.009
B10,N_zt,3,1000,0.0
B10,N_zt,4,0.1,0.17821
B10,N_zt,4,0.2,0.19188
B10,N_zt,4,0.5,0.18135
B10,N_zt,4,1,0.14134
B10,N_zt,4,2,0.08554
B10,N_zt,4,5,0.02905
B10,N_zt,4,10,0.00995
B10,N_zt,4,1000,0.0
B10,N_zt,5,0.1,0.17193
B10,N_zt,5,0.2,0.18715
B10,N_zt,5,0.5,0.17928
B10,N_zt,5,1,0.14063
B10,N_zt,5,2,0.08523
B10,N_zt,5,5,0.02889
B10,N_zt,5,10,0.00989
B10,N_zt,5,1000,0.0
B10,N_zt,6,0.1,0.16373
B10,N_zt,6,0.2,0.17851
B10,N_zt,6,0.5,0.17124
B10,N_zt,6,1,0.13445
B10,N_zt,6,2,0.08163
B10,N_zt,6,5,0.02773
B10,N_zt,6,10,0.0095
B10,N_zt,6,1000,0.0
B10,N_zt,7,0.1,0.15489
B10,N_zt,7,0.2,0.16849
B10,N_zt,7,0.5,0.1612
B10,N_zt,7,1,0.12655
B10,N_zt,7,2,0.07706
B10,N_zt,7,5,0.0263
B10,N_zt,7,10,0.00902
B10,N_zt,7,1000,0.0
B10,N_zt,8,0.1,0.146
B10,N_zt,8,0.2,0.15818
B10,N_zt,8,0.5,0.1508
B10,N_zt,8,1,0.11845
B10,N_zt,8,2,0.07242
B10,N_zt,8,5,0.02485
B10,N_zt,8,10,0.00854
B10,N_zt,8,1000,0.0
B10,N_zt,9,0.1,0.13732
B10,N_zt,9,0.2,0.14811
B10,N_zt,9,0.5,0.14683
B10,N_zt,9,1,0.11074
B10,N_zt,9,2,0.06804
B10,N_zt,9,5,0.02349
B10,N_zt,9,10,0.00808
B10,N_zt,9,1000,0.0
B10,N_zt,10,0.1,0.12902
B10,N_zt,10,0.2,0.13853
B10,N_zt,10,0.5,0.13141
B10,N_zt,10,1,0.10364
B10,N_zt,10,2,0.06403
B10,N_zt,10,5,0.02223
B10,N_zt,10,10,0.00766
B10,N_zt,10,1000,0.0
