phase,N,far,mac,chunks,pair_chunk_size,num_pairs,rel_asym,rel_asym_stderr,trunc_err,far_ms,total_ms
prefix_chunk_sweep,100000,widebvh,,1,8000000,2074980,0.00041242297861902627,6.0285788821079924e-05,,,
prefix_chunk_sweep,100000,widebvh,,2,1200000,2074980,0.0036573478065581194,0.0004632142145483827,,,
prefix_chunk_sweep,100000,widebvh,,3,800000,2074980,0.004205609253166123,0.0005644683247491494,,,
prefix_chunk_sweep,100000,widebvh,,6,400000,2074980,0.004725214917777377,0.0006517188701358357,,,
prefix_chunk_sweep,1000000,widebvh,,3,8000000,20881556,0.0030792218247109046,0.0004322676646077899,,,
prefix_chunk_sweep,1000000,widebvh,,2,12000000,20881556,0.002657884118917233,0.00042071464079096563,,,
prefix_chunk_sweep,1000000,widebvh,,1,32000000,20881556,0.00046103691840566153,6.514589966207231e-05,,,
prefix_N_scan,200000,widebvh,,1,8000000,4158018,0.00037989946064363484,5.1727829934230445e-05,,,
prefix_N_scan,300000,widebvh,,1,8000000,6242502,0.0003997143101344355,5.110614584540151e-05,,,
prefix_N_scan,400000,widebvh,,2,8000000,8333306,0.0012042399803478246,0.00017635617757114034,,,
prefix_N_scan,500000,widebvh,,2,8000000,10428696,0.002191426762608949,0.0003297239106304426,,,
prefix_N_scan,750000,widebvh,,2,8000000,15649214,0.0025107347731595946,0.00036223463197567764,,,
prefix_near_only,150,none,,1,8000000,4664,1.6616260928028756e-07,2.278968022200991e-08,,,
prefix_near_only,10000,none,,1,8000000,203408,1.3137187299914378e-05,1.921836971731181e-06,,,
prefix_near_only,100000,none,,1,8000000,2074980,4.165654922128083e-06,5.885612545831996e-07,,,
prefix_near_only,1000000,none,,3,8000000,20881556,0.012159578144280744,0.001721300439657747,,,
postfix_full,10000,widebvh,0.8,,,,0.0003226135476185321,4.4606737897642274e-05,,,
postfix_full,100000,widebvh,0.8,,,,0.0004124231166149506,6.0284196228512e-05,,,
postfix_full,300000,widebvh,0.8,,,,0.0003997164934996581,5.110578732013059e-05,,,
postfix_full,500000,widebvh,0.8,,,,0.0004461767025046012,5.757824275685126e-05,,,
