n,near_op,near_cutoff,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,2.4494,344.669,10.299,561.123,1531.277,2103.502,2449.09,21166894.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,2.4642,365.102,12.575,545.777,1538.724,2097.82,2463.827,21469798.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,2.5499,381.286,12.593,578.304,1575.736,2167.413,2549.643,21835270.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,2.5214,372.585,12.658,562.659,1571.427,2147.496,2521.031,22042142.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,2.6053,385.074,12.795,584.285,1621.06,2218.938,2604.99,22085560.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,2.4328,361.508,11.999,538.796,1518.565,2070.125,2432.502,21883846.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,2.4265,362.735,11.254,533.361,1517.169,2062.526,2426.156,21663036.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,2.5353,380.076,11.132,565.33,1576.773,2154.043,2535.009,21463428.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,2.4598,375.778,11.181,545.4,1525.515,2082.83,2459.528,21241738.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,2.4401,374.801,11.279,541.204,1510.84,2064.047,2439.789,21088922.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.1,2.4799,376.051,11.219,539.363,1551.234,2102.561,2479.525,21056940.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.11,2.466,384.504,12.642,550.354,1516.626,2080.341,2465.75,21098584.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.12,2.4915,383.261,11.128,538.244,1556.964,2107.077,2491.226,21163750.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.13,2.4932,384.561,12.614,562.623,1531.001,2106.982,2492.804,21214354.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.14,2.4755,384.497,12.483,543.957,1532.629,2089.818,2475.237,21223828.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.15,2.4729,381.85,11.236,543.579,1534.295,2089.861,2472.6,21201462.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.16,2.4746,386.492,11.146,546.606,1528.341,2086.935,2474.338,21147016.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.17,2.521,386.994,12.653,562.548,1556.773,2132.739,2520.678,21049606.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.18,2.4663,390.938,11.454,535.921,1526.059,2074.185,2466.019,20911468.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.19,2.4097,379.643,11.209,512.331,1504.556,2028.845,2409.402,20747952.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.2,2.3769,380.26,11.441,529.839,1453.395,1995.404,2376.543,20568036.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.21,2.3611,378.184,11.473,504.189,1465.326,1981.709,2360.757,20385242.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.22,2.3479,375.811,11.189,505.845,1452.722,1970.492,2347.556,20206870.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.23,2.3167,387.271,11.078,494.294,1422.011,1928.133,2316.376,20036094.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.24,2.2919,377.233,11.26,492.313,1409.159,1913.45,2291.596,19874724.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.25,2.3434,380.832,11.164,500.482,1448.999,1961.361,2343.108,19727536.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.26,2.3785,393.52,12.363,524.01,1445.135,1983.215,2378.143,19596576.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.27,2.3596,408.635,10.817,518.751,1419.368,1949.615,2359.299,19489932.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.28,2.3308,402.911,10.876,498.607,1416.513,1926.687,2330.496,19411316.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.29,2.3439,395.412,12.476,496.658,1437.416,1947.251,2343.562,19373350.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.3,2.3346,403.05,11.075,497.388,1421.202,1930.363,2334.315,19378800.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.31,2.3501,406.368,10.693,503.28,1427.571,1942.23,2349.82,19414140.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.32,2.367,413.46,12.034,502.838,1436.72,1952.291,2366.668,19461502.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.33,2.3418,402.462,12.396,498.795,1426.073,1937.964,2341.36,19515130.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.34,2.4046,404.43,12.373,522.863,1463.075,1999.011,2404.346,19572108.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.35,2.4125,415.515,10.958,523.886,1460.226,1995.773,2412.199,19631902.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.36,2.3901,412.678,11.034,522.081,1442.371,1976.264,2389.849,19690326.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.37,2.4061,406.198,12.227,529.394,1456.332,1998.666,2405.782,19753246.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.38,2.463,398.519,11.14,565.246,1486.031,2063.163,2462.695,19821570.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.39,2.4045,403.655,12.252,530.908,1455.552,1999.493,2404.17,19886022.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.4,2.4224,395.231,11.187,525.697,1488.372,2025.988,2422.135,19943130.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.41,2.3356,399.359,11.229,494.605,1428.035,1934.598,2335.279,19996780.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.42,2.4379,392.156,11.222,526.971,1505.553,2044.482,2437.582,20047456.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.43,2.4627,413.889,11.08,525.513,1510.192,2047.535,2462.364,20089462.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.44,2.4863,419.759,12.162,535.981,1516.482,2065.364,2485.967,20126150.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.45,2.4895,419.586,10.962,537.41,1519.624,2068.726,2489.237,20161546.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.46,2.4885,417.795,10.977,539.205,1518.559,2069.493,2488.227,20189076.0,2579.99,
