n,near_op,near_cutoff,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,1.9037,358.879,10.694,16.926,1515.202,1543.552,1903.321,21166894.0,2580.61,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,1.9392,369.942,11.714,17.717,1537.939,1568.08,1938.869,21469802.0,2580.61,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,1.9677,376.705,11.68,17.824,1559.587,1589.818,1967.414,21835274.0,2580.61,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,1.9844,378.789,11.702,18.469,1573.447,1604.36,1984.058,22042138.0,2580.61,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,2.0008,389.481,11.616,18.296,1579.408,1610.069,2000.475,22085576.0,2580.61,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,1.9751,376.88,12.097,18.739,1565.404,1596.995,1974.802,21883854.0,2580.61,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,1.9543,375.008,11.489,18.14,1547.746,1578.11,1954.028,21663052.0,2580.61,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,1.9424,371.962,11.61,17.803,1539.102,1569.255,1942.097,21463440.0,2580.61,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,1.9241,367.985,11.673,17.752,1524.755,1554.905,1923.759,21241756.0,2580.61,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,1.9221,376.026,11.637,17.761,1514.307,1544.469,1921.818,21088932.0,2580.61,
