n,near_op,near_cutoff,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,2.458,343.722,10.129,626.291,1475.785,2112.936,2457.604,21166894.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,2.5408,358.669,11.908,638.168,1529.521,2180.486,2540.442,21469804.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,2.6307,381.205,12.4,689.684,1545.25,2248.167,2630.367,21835286.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,2.6331,383.415,11.535,669.994,1566.273,2248.532,2632.854,22042148.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,2.65,365.041,11.611,652.558,1618.364,2283.274,2649.66,22085574.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,2.5837,388.408,12.758,648.307,1532.275,2194.078,2583.388,21883830.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,2.5668,363.853,11.394,641.075,1548.335,2201.593,2566.493,21663044.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,2.5408,378.607,12.582,645.407,1502.202,2160.907,2540.48,21463438.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,2.4954,362.616,11.373,629.638,1489.757,2131.497,2495.035,21241750.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,2.4827,360.158,11.792,628.075,1480.741,2121.342,2482.417,21088910.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.1,2.4852,367.173,11.704,624.696,1479.63,2116.755,2484.858,21056950.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.11,2.4946,364.424,11.614,629.941,1486.644,2128.93,2494.27,21098578.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.12,2.5031,367.55,11.484,630.916,1491.179,2134.311,2502.753,21163760.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.13,2.513,372.395,11.532,631.689,1495.432,2139.401,2512.697,21214340.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.14,2.5171,373.522,11.376,631.514,1498.3,2141.942,2516.757,21223832.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.15,2.5125,369.887,11.323,632.055,1497.221,2141.362,2512.146,21201466.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.16,2.5528,378.04,11.438,642.546,1518.747,2173.478,2552.45,21147014.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.17,2.5061,376.711,11.578,626.657,1489.204,2128.182,2505.811,21049588.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.18,2.5272,381.607,11.35,647.784,1484.452,2144.341,2526.876,20911474.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.19,2.5587,400.118,12.441,642.523,1501.671,2157.361,2558.397,20747944.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.2,2.4979,396.237,11.326,614.991,1473.403,2100.441,2497.615,20568044.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.21,2.5059,368.833,11.455,631.475,1492.099,2135.768,2505.515,20385252.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.22,2.4604,376.086,11.347,606.652,1464.392,2083.113,2460.133,20206868.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.23,2.5144,387.171,10.937,624.498,1489.867,2126.042,2514.121,20036104.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.24,2.4958,389.219,11.653,655.397,1437.363,2105.221,2495.436,19874736.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.25,2.4428,403.005,12.872,597.713,1427.178,2038.516,2442.448,19727588.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.26,2.4303,393.914,11.389,597.899,1425.04,2035.062,2429.961,19596584.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.27,2.3851,385.494,11.073,583.928,1402.713,1998.419,2384.828,19489926.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.28,2.4459,396.121,12.986,601.759,1433.063,2048.491,2445.588,19411290.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.29,2.4466,410.123,11.108,604.62,1418.698,2035.16,2446.265,19373302.0,2579.99,
1047968,baseline,6.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.3,2.3867,400.755,11.053,585.015,1386.874,1983.662,2386.421,19378804.0,2579.99,
