n,near_op,near_cutoff,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,5.2808,366.39,21.938,1411.214,3478.385,4913.252,5280.51,54073736.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,5.1748,357.629,19.504,1296.069,3499.055,4816.098,5174.523,51844816.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,4.9561,369.547,18.985,1249.853,3315.143,4585.496,4955.818,50065610.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,4.9394,370.827,18.781,1248.017,3299.223,4567.454,4939.06,50027762.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,4.9432,364.143,18.933,1252.816,3304.75,4577.928,4942.879,50152916.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,4.9346,369.39,19.131,1248.012,3295.483,4564.098,4934.322,50007468.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,4.8947,362.953,18.9,1240.265,3269.978,4530.65,4894.389,49658184.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,4.8741,359.976,18.92,1233.13,3259.478,4512.975,4873.816,49313506.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,4.8478,360.739,18.988,1226.508,3238.998,4485.981,4847.524,49081120.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,4.879,362.877,18.488,1226.418,3268.606,4514.929,4878.641,49040402.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.1,4.9001,367.184,18.9,1237.381,3274.014,4531.8,4899.836,49094826.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.11,4.8555,372.059,18.908,1229.177,3232.821,4482.328,4855.171,49172012.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.12,4.8655,362.097,18.781,1232.202,3249.774,4502.264,4865.22,49251390.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.13,4.8811,369.811,19.04,1257.762,3232.008,4510.233,4880.833,49358298.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.14,4.899,371.843,18.836,1237.319,3268.423,4526.011,4898.663,49474626.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.15,4.8913,374.261,18.728,1240.362,3255.378,4515.91,4890.984,49591140.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.16,4.9824,376.159,18.838,1261.282,3323.471,4605.053,4982.072,49688240.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.17,5.094,401.814,20.961,1277.003,3391.55,4690.992,5093.713,49746892.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.18,5.0077,407.928,18.754,1253.703,3324.613,4598.551,5007.36,49769424.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.19,4.9529,375.621,18.899,1281.324,3274.384,4576.081,4952.613,49763290.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.2,4.891,377.929,18.836,1244.308,3247.344,4511.937,4890.667,49751746.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.21,4.8942,380.983,19.388,1244.947,3246.276,4512.058,4893.857,49744972.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.22,4.8693,380.297,19.153,1247.215,3220.084,4487.894,4868.996,49742536.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.23,4.8494,380.863,18.522,1245.207,3202.231,4467.407,4849.063,49739426.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.24,4.8541,379.374,19.228,1246.842,3205.952,4473.495,4853.761,49738224.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.25,4.8413,373.442,18.827,1247.233,3199.215,4466.732,4841.003,49732626.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.26,4.8324,370.916,18.901,1245.576,3194.498,4460.424,4832.123,49720388.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.27,4.8302,380.026,18.929,1246.492,3182.216,4449.087,4829.913,49690836.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.28,4.8571,380.871,18.775,1286.682,3167.98,4475.061,4856.757,49635276.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.29,4.7941,393.14,18.991,1241.942,3137.402,4399.777,4793.752,49553570.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.3,4.8043,379.473,18.828,1255.905,3147.264,4423.624,4803.943,49464456.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.31,4.7927,393.074,18.934,1235.919,3142.217,4398.526,4792.451,49394648.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.32,4.7842,385.277,18.949,1238.923,3138.53,4397.851,4783.938,49363962.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.33,4.7847,394.232,18.939,1236.372,3132.643,4389.394,4784.439,49352700.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.34,4.7721,388.467,19.014,1236.599,3125.458,4382.512,4771.815,49348260.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.35,4.7336,389.247,18.732,1236.734,3086.228,4343.138,4733.246,49345454.0,3253.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.36,4.7613,389.924,18.54,1234.921,3115.338,4370.211,4760.957,49334912.0,3253.84,
