n,near_op,near_cutoff,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,3.0737,341.481,18.96,49.261,2661.417,2731.148,3073.386,54073736.0,2009.28,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,3.1141,352.083,18.915,47.367,2693.219,2760.94,3113.776,51844844.0,1998.65,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,3.0227,359.395,18.834,47.458,2594.557,2662.284,3022.467,50065620.0,1990.17,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,3.0053,348.66,18.573,45.997,2589.632,2655.619,3005.038,50027770.0,1989.99,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,3.0122,350.948,18.421,47.735,2592.629,2660.196,3011.934,50152932.0,1990.58,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,3.0128,351.823,18.842,47.573,2592.033,2659.871,3012.467,50007474.0,1989.89,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,2.9925,353.475,18.699,46.412,2571.403,2637.934,2992.211,49658164.0,1988.23,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,2.9809,351.611,18.7,46.756,2561.344,2628.207,2980.593,49313506.0,1986.58,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,2.9697,359.334,18.684,47.044,2542.186,2609.321,2969.442,49081044.0,1985.47,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,2.9816,361.069,18.155,47.173,2552.815,2619.538,2981.361,49040350.0,1985.28,
