n,near_op,near_cutoff,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,11.0495,353.968,20.468,1639.329,9032.798,10694.033,11048.972,54073736.0,3790.74,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,10.7521,376.933,20.146,1605.385,8746.762,10373.486,10751.439,51844818.0,3780.11,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,10.2939,380.583,20.191,1544.532,8345.763,9911.716,10293.271,50065594.0,3771.63,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,10.1156,369.051,18.774,1505.133,8219.858,9745.012,10115.002,50027758.0,3771.45,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,10.1168,355.057,19.282,1509.608,8230.134,9760.255,10116.265,50152930.0,3772.04,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,10.1194,368.212,18.708,1506.54,8223.165,9749.658,10118.798,50007470.0,3771.35,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,10.0971,361.77,18.824,1499.274,8214.493,9733.816,10096.535,49658156.0,3769.69,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,9.9787,365.822,18.391,1485.038,8106.745,9611.394,9978.16,49313494.0,3768.04,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,10.0366,359.276,18.8,1482.316,8173.441,9675.795,10036.018,49081086.0,3766.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,9.946,369.32,18.571,1480.539,8074.868,9575.204,9945.457,49040394.0,3766.74,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.1,10.1033,368.47,18.788,1481.296,8231.798,9733.153,10102.7,49094832.0,3767.0,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.11,10.0368,384.958,20.648,1533.863,8094.528,9650.24,10036.208,49172034.0,3767.37,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.12,9.9898,372.402,18.805,1487.998,8107.613,9615.694,9989.211,49251378.0,3767.75,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.13,10.0052,368.896,18.959,1491.06,8123.477,9634.733,10004.692,49358282.0,3768.25,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.14,10.028,372.411,18.632,1497.641,8136.492,9654.017,10027.428,49474600.0,3768.81,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.15,10.1061,373.253,19.39,1550.362,8160.427,9731.411,10105.547,49591158.0,3769.37,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.16,10.1071,364.407,19.075,1550.103,8170.96,9741.344,10106.6,49688282.0,3769.83,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.17,10.136,378.229,18.794,1506.976,8229.41,9756.401,10135.476,49746922.0,3770.11,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.18,10.1088,378.238,18.919,1507.965,8201.078,9729.173,10108.267,49769434.0,3770.21,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.19,10.0992,382.65,19.057,1506.244,8188.616,9715.14,10098.621,49763292.0,3770.19,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.2,10.1322,377.138,19.301,1548.639,8184.474,9753.635,10131.619,49751740.0,3770.13,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.21,10.0865,377.984,19.35,1509.076,8177.536,9707.185,10086.012,49744946.0,3770.1,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.22,10.1057,377.366,19.326,1509.891,8196.466,9726.981,10105.206,49742526.0,3770.09,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.23,10.0978,380.974,19.326,1508.087,8186.78,9715.423,10097.239,49739434.0,3770.07,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.24,10.096,379.499,19.266,1507.15,8187.473,9715.12,10095.454,49738246.0,3770.07,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.25,10.1356,370.178,19.238,1554.548,8189.071,9764.09,10135.104,49732656.0,3770.04,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.26,10.1043,383.585,19.393,1508.877,8189.891,9719.385,10103.808,49720400.0,3769.98,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.27,10.1053,381.018,18.759,1508.33,8194.611,9722.917,10104.743,49690864.0,3769.84,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.28,10.1079,390.039,19.021,1507.614,8188.715,9716.566,10107.423,49635222.0,3769.58,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.29,10.1217,385.579,18.856,1541.658,8173.041,9734.772,10121.152,49553606.0,3769.19,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.3,10.0635,390.733,19.172,1502.563,8148.403,9671.373,10062.958,49464430.0,3768.76,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.31,10.0631,390.587,18.34,1502.023,8149.53,9671.127,10062.546,49394698.0,3768.43,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.32,10.0465,388.39,18.819,1502.655,8134.035,9656.739,10045.964,49363906.0,3768.28,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.33,10.0853,389.779,18.925,1543.262,8130.752,9694.178,10084.802,49352636.0,3768.23,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.34,10.0853,387.074,18.762,1541.678,8135.153,9696.832,10084.776,49348296.0,3768.21,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.35,10.0853,394.53,18.94,1541.711,8127.476,9689.384,10084.817,49345414.0,3768.19,
