n,near_op,near_cutoff,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,4.548,358.997,20.352,1432.673,2733.26,4187.833,4547.684,54073736.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,4.4755,354.708,19.244,1308.865,2790.131,4119.716,4475.221,51844818.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,4.2621,364.743,18.456,1243.153,2633.146,3896.206,4261.783,50065612.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,4.2457,362.618,19.142,1243.915,2617.327,3881.855,4245.363,50027748.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,4.2826,364.587,18.855,1247.356,2649.171,3916.845,4282.298,50152928.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,4.2793,386.05,19.3,1250.7,2620.499,3891.969,4278.935,50007462.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,4.2149,351.567,18.341,1235.781,2606.608,3862.184,4214.642,49658178.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,4.2023,350.332,18.915,1229.788,2600.765,3850.897,4202.037,49313496.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,4.26,352.616,18.454,1222.431,2663.836,3906.199,4259.695,49081104.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,4.3755,371.044,20.016,1296.68,2685.0,4003.196,4375.177,49040392.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.1,4.3908,387.457,20.939,1298.969,2680.782,4002.141,4390.507,49094838.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.11,4.3713,380.267,18.148,1302.207,2668.127,3989.906,4371.0,49171994.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.12,4.4137,368.916,18.676,1295.563,2727.957,4043.634,4413.392,49251382.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.13,4.4773,395.079,20.848,1316.816,2740.872,4080.923,4476.999,49358270.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.14,4.4243,383.07,20.026,1297.289,2721.245,4040.046,4424.017,49474630.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.15,4.4658,369.238,20.136,1301.914,2771.631,4095.178,4465.519,49591184.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.16,4.5375,395.474,20.114,1336.174,2783.046,4140.829,4537.224,49688240.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.17,4.512,400.727,19.596,1335.47,2753.498,4110.116,4511.738,49746878.0,3253.93,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.18,4.4639,388.436,20.446,1309.443,2742.85,4074.239,4463.577,49769410.0,3253.93,
