n,near_op,near_cutoff,mac,max_leaf,pdeg,fp32_level,two_body_chunk,pair_chunk,backend,gpu,t,wall_s,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,peak_alloc_mb,peak_total_mb
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.0,5.3868,347.937,19.032,1598.69,3418.412,5037.63,5386.349,54073736.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.01,5.3144,357.588,19.303,1536.878,3398.028,4955.638,5314.025,51844824.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.02,5.1436,367.824,18.983,1483.068,3271.134,4774.582,5143.203,50065600.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.03,5.1102,351.958,18.894,1486.246,3250.557,4757.1,5109.845,50027760.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.04,5.1263,362.039,19.242,1489.971,3252.439,4763.057,5125.944,50152924.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.05,5.1081,359.093,18.87,1488.25,3239.348,4747.876,5107.764,50007466.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.06,5.1205,346.581,18.674,1523.489,3229.076,4772.812,5120.194,49658150.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.07,5.0588,357.932,18.551,1467.048,3212.709,4699.684,5058.44,49313518.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.08,5.0522,365.175,18.875,1459.952,3205.674,4685.873,5051.835,49081094.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.09,5.0592,364.86,18.621,1460.681,3212.551,4693.222,5058.849,49040400.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.1,5.0481,356.742,18.935,1464.351,3205.556,4690.212,5047.758,49094808.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.11,5.0644,360.18,18.985,1468.478,3214.217,4703.054,5064.026,49172016.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.12,5.0795,368.477,18.765,1469.372,3220.383,4709.901,5079.162,49251384.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.13,5.1252,363.54,18.369,1508.318,3232.385,4760.461,5124.839,49358298.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.14,5.1004,368.253,18.968,1479.312,3231.21,4730.959,5100.016,49474618.0,3208.05,
1047968,moments,8.0,0.8,1024,7,3,4000000,2000000,widebvh,NVIDIA GeForce RTX 4060 Laptop GPU,0.15,5.1449,365.957,19.255,1527.929,3229.217,4777.813,5144.587,49591170.0,3208.05,
