case,n,loading,backend,policy,order,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms,fp32_level,rel_asym,rel_asym_stderr,asym_probes,pair_budget_gb,gpu
twodrop0,1047968,gravity,widebvh,bary,,7,1024,0.8,,1.133340060065794e-06,1.1331266576613608e-06,8052.707162332808,7335886.0,5929.43408203125,1915.524169921875,8.667546,194.585544,0,0.0006032183758366171,0.00013584977899822956,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,1024,0.8,,1.1383852754799964e-06,1.1381709230861132e-06,2372.573297332565,7335886.0,223.11203002929688,1944.0877685546875,8.775241000000001,195.74255,1,0.0006032058361722442,0.00013582326842107443,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,1024,0.8,,1.1381600297402887e-06,1.1379457197590795e-06,535.3009236666063,7335886.0,220.4239959716797,86.62957000732422,11.408023,207.342982,2,0.0006032010179324517,0.00013582363302163845,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,0.8,,3.365308935457133e-05,3.364675264201883e-05,4875.466036666087,7335886.0,2839.412841796875,1926.741943359375,8.795954,95.26624,0,0.0035311549187558495,0.0006527314615567984,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,0.8,,3.365170609315201e-05,3.3645369641060884e-05,2209.6510346673313,7335886.0,159.1670684814453,1940.2357177734375,8.777248,97.005212,1,0.0035310796702372237,0.0006527126192643229,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,0.8,,3.3651805359176694e-05,3.364546888839426e-05,367.76260900054086,7335886.0,151.58551025390625,84.3089599609375,11.351809,114.09229,2,0.003531176556613025,0.0006527323644631855,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,0.8,,0.00030892804087918055,0.0003071491508437675,8100.315566000063,7335886.0,5964.740234375,1926.7432861328125,9.003979,195.752401,0,0.0006032183758366301,0.000135849778998197,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,0.8,,0.000308929371008768,0.00030715047331411404,2433.307720999437,7335886.0,350.1254577636719,1951.5950927734375,9.033612,195.697128,1,0.000603213012817842,0.00013582680655325677,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,0.8,,0.00030893165051029643,0.00030715273968966487,569.8697290002505,7335886.0,246.43084716796875,89.02950286865234,11.666818,212.946928,2,0.0006032045938324754,0.0001358289877147423,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,1024,0.8,,0.0017815969045852037,0.0017713379945436612,4875.803961333683,7335886.0,2839.596435546875,1926.748779296875,8.975276000000001,93.636231,0,0.003531154918755796,0.0006527314615568244,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,1024,0.8,,0.0017815975015880111,0.0017713385881087673,2216.1504123335667,7335886.0,160.4484405517578,1945.142333984375,8.853653000000001,95.938024,1,0.0035310811529539244,0.0006527132322633887,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,1024,0.8,,0.0017816006161386186,0.001771341684724962,381.1943789999835,7335886.0,167.34915161132812,86.68169403076172,11.817966,110.417588,2,0.003531178884930024,0.0006527346273386564,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,1024,0.8,,1.1382738866737435e-06,1.138059555253829e-06,538.1664883328389,7335886.0,222.0576629638672,85.71065521240234,11.304296,223.752575,2,0.0006032072349613143,0.00013582772029515475,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,1024,0.8,,1.1380327492376587e-06,1.137818463222747e-06,354.08902366665035,7335886.0,230.92681884765625,87.57609558105469,10.97087,17.746906,3,0.0006029445530507547,0.00013581662382176185,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,0.8,,3.3651764366921103e-05,3.364542790385731e-05,369.14552133263595,7335886.0,156.18678283691406,83.99676513671875,11.226269,104.046902,2,0.0035311851221814634,0.0006527360245650197,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,0.8,,3.365300315156146e-05,3.3646666455240566e-05,274.92394433405326,7335886.0,176.3770294189453,77.3025894165039,9.537025,9.261001,3,0.0035314205651575054,0.00065278889094525,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,0.8,,0.0003089317511391109,0.00030715283973903177,540.2704750000945,7335886.0,214.66204833984375,88.40509033203125,11.447235,207.871262,2,0.0006032067348342063,0.00013582933214410512,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,0.8,,0.00030892611193774006,0.00030714723300968616,362.1188313336461,7335886.0,236.608642578125,89.12576293945312,11.490894,19.266391,3,0.0006029493708153825,0.0001358156155167612,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,1024,0.8,,0.0017816005836618282,0.0017713416524351817,376.7001950000122,7335886.0,157.05728149414062,85.75154876708984,11.534473,121.6075,2,0.0035311797060053256,0.0006527338107244722,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,1024,0.8,,0.0017815986238209536,0.001771339703879593,284.4869743336555,7335886.0,172.24908447265625,84.63155364990234,11.058214,9.555867,3,0.003531424823527884,0.0006527917361958289,8,1.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,256,0.6,,1.5350338917385677e-07,1.5347448523452505e-07,700.5955546665064,15916511.0,591.7778930664062,67.68438720703125,17.357402999999998,19.609476,3,3.6817319868091185e-05,9.228611065310514e-06,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,256,0.7,,3.323616170769062e-07,3.322990350058009e-07,494.0245766665612,10141320.0,406.30792236328125,43.198368072509766,17.245389,17.312784,3,0.00015374244287206905,3.213079280677581e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,256,0.8,,1.0965225284274888e-06,1.0963160585846526e-06,369.0532396661486,7322351.0,295.6950378417969,29.756736755371094,17.194651,17.694794,3,0.0006098362699053362,0.0001222723498449149,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,256,0.9,,3.6503918263300206e-06,3.649704475357165e-06,296.82716699971934,7141470.0,224.60675048828125,28.97148895263672,17.009824000000002,19.223526,3,0.001582356797344666,0.0005138997957254984,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,256,1.0,,9.739575383319182e-06,9.737741468787971e-06,289.05664800064795,7139518.0,217.4680938720703,28.94316864013672,17.398106,19.343501,3,0.0034222817469922095,0.0007682062957581674,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,512,0.6,,1.4948872246403026e-07,1.4946057446685487e-07,668.9742193339043,16963558.0,510.3996276855469,120.6987533569336,16.950041,18.02023,3,3.0593468136525506e-05,8.666791377711122e-06,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,512,0.7,,3.6312432941013337e-07,3.630559548703683e-07,475.7089923332387,10834680.0,358.82080078125,74.6363525390625,16.975203999999998,19.044676,3,0.00011217267809363914,2.2370975882926312e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,512,0.8,,1.1789409545734133e-06,1.1787189657430034e-06,355.1306966667956,7396517.0,266.45611572265625,48.681793212890625,17.261267,17.059497,3,0.0006561165212327029,0.00011649423216922189,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,512,0.9,,3.93886685508437e-06,3.938125185670894e-06,284.6873240002121,6633239.0,208.15203857421875,43.98031997680664,17.253526,20.353092,3,0.0028496853765339093,0.0007160197381078473,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,512,1.0,,1.0572078519384094e-05,1.057008784857364e-05,269.70233733421384,6627906.0,184.6639404296875,43.4095344543457,16.945913,17.761787,3,0.004699233392094736,0.0008424407393634784,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,1024,0.6,,1.3689360028118364e-07,1.3686782388407134e-07,687.2284013334138,16790878.0,427.04351806640625,214.9287109375,15.617167,17.861893,3,3.241881308887895e-05,9.329609320851717e-06,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
