case,n,loading,backend,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms
drop3k,3071,gravity,widebvh,3,1024,0.4,,3.861842483063869e-05,3.8202246210551565e-05,5.403570054719846,22058.0,0.7789120078086853,0.02051199972629547,3.939253,0.168229
drop3k,3071,gravity,widebvh,3,1024,0.5,,0.00013527372986692527,0.00013381592741959733,5.221210730572541,21967.0,0.6032959818840027,0.019168000668287277,3.9457329999999997,0.168649
drop3k,3071,gravity,widebvh,3,1024,0.6,,0.0003543913393370649,0.0003505721753182592,5.111661273986101,21912.0,0.48764801025390625,0.01894400082528591,3.941033,0.168939
drop3k,3071,gravity,widebvh,3,1024,0.7,,0.0007755987587060236,0.0007672403747855207,5.042025353759527,21881.0,0.42345601320266724,0.0191040001809597,3.948053,0.167409
drop3k,3071,gravity,widebvh,3,1024,0.8,,0.0016818586062847393,0.0016637337449778658,5.040108226239681,21871.0,0.41286399960517883,0.020191999152302742,3.949953,0.19381
drop3k,3071,gravity,widebvh,3,1024,0.9,,0.0026921966866464463,0.0026631837295679186,5.027895017216603,21871.0,0.4182400107383728,0.019168000668287277,3.939483,0.169309
drop3k,3071,gravity,widebvh,5,1024,0.4,,6.505769836608253e-07,6.435659200944626e-07,5.891127977520227,22058.0,1.0040960311889648,0.01942400075495243,3.9492629999999997,0.321759
drop3k,3071,gravity,widebvh,5,1024,0.5,,2.5990347287036826e-06,2.57102574874932e-06,5.58692899843057,21967.0,0.7004799842834473,0.019071999937295914,3.968263,0.320479
drop3k,3071,gravity,widebvh,5,1024,0.6,,4.6099792110895974e-06,4.560298914829055e-06,5.402386654168367,21912.0,0.5258880257606506,0.019328000023961067,3.954033,0.321549
drop3k,3071,gravity,widebvh,5,1024,0.7,,1.0160346944744944e-05,1.0050852080839579e-05,5.29656404008468,21881.0,0.42476800084114075,0.01897599920630455,3.9531840000000003,0.320459
drop3k,3071,gravity,widebvh,5,1024,0.8,,3.1370572643646585e-05,3.1032501847350985e-05,5.273250707735618,21871.0,0.39347198605537415,0.01894400082528591,3.936843,0.322059
drop3k,3071,gravity,widebvh,5,1024,0.9,,7.52247934446973e-05,7.441411950163902e-05,6.193180102854967,21871.0,0.41862401366233826,0.01942400075495243,3.937783,3.027557
drop3k,3071,gravity,widebvh,7,1024,0.4,,3.293491886994451e-08,3.257998960630711e-08,6.76364762087663,22058.0,1.6927679777145386,0.023072000592947006,3.908204,0.539288
drop3k,3071,gravity,widebvh,7,1024,0.5,,1.6124313037368474e-07,1.595054638636771e-07,6.174653613318999,21967.0,1.127776026725769,0.01958400011062622,3.8937630000000003,0.536168
drop3k,3071,gravity,widebvh,7,1024,0.6,,5.497749120617229e-07,5.438501607218174e-07,5.879831189910571,21912.0,0.8154240250587463,0.018848000094294548,3.898933,0.536137
drop3k,3071,gravity,widebvh,7,1024,0.7,,1.2786750457203851e-06,1.2648951668568236e-06,5.706498709817727,21881.0,0.6451839804649353,0.019071999937295914,3.8979730000000004,0.535488
drop3k,3071,gravity,widebvh,7,1024,0.8,,2.2195122796216356e-06,2.1955932937528356e-06,5.626902294655641,21871.0,0.5743039846420288,0.0191040001809597,3.899043,0.535907
drop3k,3071,gravity,widebvh,7,1024,0.9,,4.514988999026514e-06,4.466332382409861e-06,5.615579274793466,21871.0,0.5674880146980286,0.01913600042462349,3.896874,0.535128
drop3k,3071,random,widebvh,3,1024,0.4,,0.0008166319682903813,0.0007140629103237898,5.355960379044215,22058.0,0.7825919985771179,0.019007999449968338,3.883263,0.169229
drop3k,3071,random,widebvh,3,1024,0.5,,0.002144691558396755,0.0018753180813405209,5.1676010092099505,21967.0,0.5863360166549683,0.019007999449968338,3.9059429999999997,0.168079
drop3k,3071,random,widebvh,3,1024,0.6,,0.004441567550619765,0.0038837062161978697,5.081051184485356,21912.0,0.4870080053806305,0.018880000337958336,3.893293,0.166179
