cfg,family,param,P,stage,err2_lin,true2_lin,err2_ang,true2_ang
83,grown,0.050000001,12,2b,0.0073832742,0.089450793,0.0022405859,0.031050646
83,grown,0.050000001,12,b1,0.0018135106,0.089450793,0.0011857445,0.031050646
83,grown,0.050000001,12,moments,0.00044849158,0.089450793,0.00064090896,0.031050646
83,grown,0.050000001,12,diag,0.00038543697,0.089450793,0.00048567636,0.031050646
688,grown,0.050000001,12,2b,0.010513043,0.22438348,0.0018242027,0.045862954
688,grown,0.050000001,12,b1,0.0034441815,0.22438348,0.0010532247,0.045862954
688,grown,0.050000001,12,moments,0.0010989579,0.22438348,0.00078217869,0.045862954
688,grown,0.050000001,12,diag,0.00072113597,0.22438348,0.00060876738,0.045862954
646,grown,0.050000001,12,2b,0.0044036419,0.27902302,0.0010130575,0.03820324
646,grown,0.050000001,12,b1,0.0012821112,0.27902302,0.00060750637,0.03820324
646,grown,0.050000001,12,moments,0.00069223773,0.27902302,0.00040847509,0.03820324
646,grown,0.050000001,12,diag,0.00069354712,0.27902302,0.00039535387,0.03820324
454,grown,0.050000001,12,2b,0.0082994831,0.36773343,0.0017568201,0.041761073
454,grown,0.050000001,12,b1,0.0026061259,0.36773343,0.00058616866,0.041761073
454,grown,0.050000001,12,moments,0.0015181091,0.36773343,0.00050091944,0.041761073
454,grown,0.050000001,12,diag,0.0015405928,0.36773343,0.00043007457,0.041761073
563,grown,0.050000001,12,2b,0.0043556345,0.071072275,0.00096620635,0.035998558
563,grown,0.050000001,12,b1,0.0011779741,0.071072275,0.00061885432,0.035998558
563,grown,0.050000001,12,moments,0.00046378983,0.071072275,0.00046783408,0.035998558
563,grown,0.050000001,12,diag,0.0003705344,0.071072275,0.00037651555,0.035998558
1527,grown,0.050000001,12,2b,0.0054490094,0.074043423,0.0011738167,0.030813225
1527,grown,0.050000001,12,b1,0.0014861744,0.074043423,0.00050125728,0.030813225
1527,grown,0.050000001,12,moments,0.00096122973,0.074043423,0.00036670851,0.030813225
1527,grown,0.050000001,12,diag,0.00071841924,0.074043423,0.00027569333,0.030813225
1775,grown,0.050000001,16,2b,0.0077649623,0.24616943,0.0014124824,0.061192004
1775,grown,0.050000001,16,b1,0.0023757196,0.24616943,0.0006303587,0.061192004
1775,grown,0.050000001,16,moments,0.00044897691,0.24616943,0.00052682501,0.061192004
1775,grown,0.050000001,16,diag,0.00040074602,0.24616943,0.0004841008,0.061192004
1536,grown,0.050000001,16,2b,0.0083849183,0.33696864,0.0013295893,0.050978985
1536,grown,0.050000001,16,b1,0.0013090706,0.33696864,0.0010284111,0.050978985
1536,grown,0.050000001,16,moments,0.0006490265,0.33696864,0.00065779829,0.050978985
1536,grown,0.050000001,16,diag,0.00053610456,0.33696864,0.00046402015,0.050978985
1993,grown,0.050000001,16,2b,0.0069325527,0.15639969,0.0018187475,0.060267891
1993,grown,0.050000001,16,b1,0.0013245316,0.15639969,0.0010114947,0.060267891
1993,grown,0.050000001,16,moments,0.00075860766,0.15639969,0.00065986536,0.060267891
1993,grown,0.050000001,16,diag,0.00068519487,0.15639969,0.00041807095,0.060267891
1751,grown,0.050000001,16,2b,0.0090125798,0.17991925,0.0017082498,0.045277738
1751,grown,0.050000001,16,b1,0.0025324246,0.17991925,0.0010317394,0.045277738
1751,grown,0.050000001,16,moments,0.001338331,0.17991925,0.00074939496,0.045277738
1751,grown,0.050000001,16,diag,0.0010598307,0.17991925,0.0004763924,0.045277738
2456,grown,0.050000001,16,2b,0.0090927613,0.1834729,0.0013479037,0.058455817
2456,grown,0.050000001,16,b1,0.0025635151,0.1834729,0.00063673477,0.058455817
2456,grown,0.050000001,16,moments,0.0010817437,0.1834729,0.00063347115,0.058455817
2456,grown,0.050000001,16,diag,0.00094543657,0.1834729,0.00046363006,0.058455817
2548,grown,0.050000001,16,2b,0.0089666587,0.11627615,0.001226575,0.047865447
2548,grown,0.050000001,16,b1,0.0011429084,0.11627615,0.00050514506,0.047865447
2548,grown,0.050000001,16,moments,0.00070198724,0.11627615,0.00038523207,0.047865447
2548,grown,0.050000001,16,diag,0.00056002943,0.11627615,0.00024586979,0.047865447
2785,grown,0.050000001,24,2b,0.012452163,0.57153612,0.001796728,0.070453925
2785,grown,0.050000001,24,b1,0.0036415248,0.57153612,0.00074115488,0.070453925
2785,grown,0.050000001,24,moments,0.0014374577,0.57153612,0.00071190554,0.070453925
2785,grown,0.050000001,24,diag,0.0012034904,0.57153612,0.00067669119,0.070453925
2792,grown,0.050000001,24,2b,0.013668124,0.33151237,0.002754321,0.093031919
2792,grown,0.050000001,24,b1,0.0044776161,0.33151237,0.00090409741,0.093031919
2792,grown,0.050000001,24,moments,0.0018595136,0.33151237,0.00081066569,0.093031919
2792,grown,0.050000001,24,diag,0.0018764275,0.33151237,0.00065765106,0.093031919
2656,grown,0.050000001,24,2b,0.011160327,0.22956647,0.0036901027,0.068374124
2656,grown,0.050000001,24,b1,0.0029641651,0.22956647,0.0012693781,0.068374124
2656,grown,0.050000001,24,moments,0.0011181592,0.22956647,0.0011239748,0.068374124
2656,grown,0.050000001,24,diag,0.0011078025,0.22956647,0.00074717131,0.068374124
2924,grown,0.050000001,24,2b,0.025182004,0.55343895,0.0050831748,0.098062392
2924,grown,0.050000001,24,b1,0.0055069804,0.55343895,0.0022914411,0.098062392
2924,grown,0.050000001,24,moments,0.0020119849,0.55343895,0.0016828908,0.098062392
2924,grown,0.050000001,24,diag,0.0019208471,0.55343895,0.0013918567,0.098062392
3293,grown,0.050000001,24,2b,0.012081092,0.60760294,0.0038031802,0.065200933
3293,grown,0.050000001,24,b1,0.0040370574,0.60760294,0.0012547955,0.065200933
3293,grown,0.050000001,24,moments,0.0023575829,0.60760294,0.0012581599,0.065200933
3293,grown,0.050000001,24,diag,0.0020787397,0.60760294,0.00076688729,0.065200933
3043,grown,0.050000001,24,2b,0.02979043,0.64021523,0.0085644951,0.068327221
3043,grown,0.050000001,24,b1,0.0060868432,0.64021523,0.0023835519,0.068327221
3043,grown,0.050000001,24,moments,0.0028376597,0.64021523,0.0020813459,0.068327221
3043,grown,0.050000001,24,diag,0.0027136811,0.64021523,0.0014491796,0.068327221
3470,grown,0.050000001,32,2b,0.014557143,0.15903641,0.0034288769,0.10482251
3470,grown,0.050000001,32,b1,0.0041980736,0.15903641,0.0013461137,0.10482251
3470,grown,0.050000001,32,moments,0.0025371729,0.15903641,0.001113417,0.10482251
3470,grown,0.050000001,32,diag,0.0021507706,0.15903641,0.00064666751,0.10482251
3705,grown,0.050000001,32,2b,0.025765103,0.28840558,0.0072111402,0.11285461
3705,grown,0.050000001,32,b1,0.0068491357,0.28840558,0.0029001112,0.11285461
3705,grown,0.050000001,32,moments,0.0030127248,0.28840558,0.0022077517,0.11285461
3705,grown,0.050000001,32,diag,0.0023172008,0.28840558,0.0013589326,0.11285461
3670,grown,0.050000001,32,2b,0.013731016,0.15822072,0.0043562276,0.079556179
3670,grown,0.050000001,32,b1,0.0050981754,0.15822072,0.0015724809,0.079556179
3670,grown,0.050000001,32,moments,0.0024472923,0.15822072,0.0011656511,0.079556179
3670,grown,0.050000001,32,diag,0.0021009506,0.15822072,0.00092214863,0.079556179
3627,grown,0.050000001,32,2b,0.070271401,0.56561059,0.010158098,0.094279813
3627,grown,0.050000001,32,b1,0.016410645,0.56561059,0.0037783441,0.094279813
3627,grown,0.050000001,32,moments,0.007176942,0.56561059,0.0025363935,0.094279813
3627,grown,0.050000001,32,diag,0.0057169116,0.56561059,0.0014536545,0.094279813
3810,grown,0.050000001,32,2b,0.038704804,0.27991849,0.0095908061,0.093795506
3810,grown,0.050000001,32,b1,0.0096724969,0.27991849,0.002464771,0.093795506
3810,grown,0.050000001,32,moments,0.0037576601,0.27991849,0.0021320237,0.093795506
3810,grown,0.050000001,32,diag,0.0025223868,0.27991849,0.0013652078,0.093795506
3833,grown,0.050000001,32,2b,0.016118476,0.26481918,0.0043410964,0.12178996
3833,grown,0.050000001,32,b1,0.0056497675,0.26481918,0.001633507,0.12178996
3833,grown,0.050000001,32,moments,0.003109724,0.26481918,0.0012693035,0.12178996
3833,grown,0.050000001,32,diag,0.0023298956,0.26481918,0.0010906041,0.12178996
4389,grown,0.050000001,8,2b,0.0018298429,0.039440328,0.00048786001,0.032898422
4389,grown,0.050000001,8,b1,0.00058956788,0.039440328,0.00018496883,0.032898422
4389,grown,0.050000001,8,moments,0.00028937092,0.039440328,0.00015679961,0.032898422
4389,grown,0.050000001,8,diag,0.00024130358,0.039440328,0.00014656329,0.032898422
5273,grown,0.050000001,8,2b,0.0031196887,0.1557155,0.0012400746,0.043571138
5273,grown,0.050000001,8,b1,0.00070672564,0.1557155,0.00048173464,0.043571138
5273,grown,0.050000001,8,moments,0.0005330317,0.1557155,0.0005610213,0.043571138
5273,grown,0.050000001,8,diag,0.0004457896,0.1557155,0.00036189681,0.043571138
5718,grown,0.050000001,8,2b,0.0016255572,0.071464727,0.00093539036,0.024558878
5718,grown,0.050000001,8,b1,0.00054059508,0.071464727,0.00028965772,0.024558878
5718,grown,0.050000001,8,moments,0.00017162814,0.071464727,0.00024213646,0.024558878
5718,grown,0.050000001,8,diag,0.00016483404,0.071464727,0.00018913325,0.024558878
5745,grown,0.050000001,8,2b,0.0010447537,0.071315515,0.00062262994,0.022318451
5745,grown,0.050000001,8,b1,0.0007178175,0.071315515,0.00034045543,0.022318451
5745,grown,0.050000001,8,moments,0.000234497,0.071315515,0.00018081174,0.022318451
5745,grown,0.050000001,8,diag,0.00021704459,0.071315515,0.00014078288,0.022318451
4926,grown,0.050000001,8,2b,0.0010838439,0.034508134,0.00049463418,0.028593107
4926,grown,0.050000001,8,b1,0.00085659209,0.034508134,0.0002608364,0.028593107
4926,grown,0.050000001,8,moments,0.00024747101,0.034508134,0.00017422281,0.028593107
4926,grown,0.050000001,8,diag,0.00017466468,0.034508134,0.00010441364,0.028593107
5121,grown,0.050000001,8,2b,0.0024560694,0.11441658,0.00039153971,0.022232159
5121,grown,0.050000001,8,b1,0.00094948662,0.11441658,0.00013347327,0.022232159
5121,grown,0.050000001,8,moments,0.00035462778,0.11441658,0.00010378582,0.022232159
5121,grown,0.050000001,8,diag,0.00032575901,0.11441658,7.2284779e-05,0.022232159
6711,grown,0.1,12,2b,0.0023195836,0.14730857,0.00049688596,0.046362848
6711,grown,0.1,12,b1,0.00059116755,0.14730857,0.00019809633,0.046362848
6711,grown,0.1,12,moments,0.00030877295,0.14730857,0.00014739332,0.046362848
6711,grown,0.1,12,diag,0.00026649516,0.14730857,0.00012640362,0.046362848
6688,grown,0.1,12,2b,0.0017490005,0.11090194,0.00045449529,0.041094394
6688,grown,0.1,12,b1,0.00054383529,0.11090194,0.00016982288,0.041094394
6688,grown,0.1,12,moments,0.00019668872,0.11090194,9.9668289e-05,0.041094394
6688,grown,0.1,12,diag,0.00014769557,0.11090194,8.720283e-05,0.041094394
7155,grown,0.1,12,2b,0.0038288766,0.28951928,0.0009287958,0.044034736
7155,grown,0.1,12,b1,0.00086302201,0.28951928,0.00054128377,0.044034736
7155,grown,0.1,12,moments,0.00023770979,0.28951928,0.0005326648,0.044034736
7155,grown,0.1,12,diag,0.00017242998,0.28951928,0.00028349207,0.044034736
6669,grown,0.1,12,2b,0.0023927555,0.085670328,0.00082604762,0.037892661
6669,grown,0.1,12,b1,0.00099791126,0.085670328,0.00035154387,0.037892661
6669,grown,0.1,12,moments,0.00038592213,0.085670328,0.00022402616,0.037892661
6669,grown,0.1,12,diag,0.00032190853,0.085670328,0.00013804159,0.037892661
7145,grown,0.1,12,2b,0.0037030362,0.35738997,0.00094244592,0.049143433
7145,grown,0.1,12,b1,0.0010804864,0.35738997,0.00046467476,0.049143433
7145,grown,0.1,12,moments,0.00069862773,0.35738997,0.00034397184,0.049143433
7145,grown,0.1,12,diag,0.00063741447,0.35738997,0.0003028699,0.049143433
6932,grown,0.1,12,2b,0.0059875873,0.18513024,0.0015557746,0.074253188
6932,grown,0.1,12,b1,0.0015738587,0.18513024,0.00053713011,0.074253188
6932,grown,0.1,12,moments,0.00084882787,0.18513024,0.00049347526,0.074253188
6932,grown,0.1,12,diag,0.00077678352,0.18513024,0.00031467944,0.074253188
7439,grown,0.1,16,2b,0.011416904,0.092182165,0.0024075093,0.04827438
7439,grown,0.1,16,b1,0.0034291671,0.092182165,0.00075525164,0.04827438
7439,grown,0.1,16,moments,0.00099091697,0.092182165,0.00046063837,0.04827438
7439,grown,0.1,16,diag,0.00085372522,0.092182165,0.0004262306,0.04827438
7687,grown,0.1,16,2b,0.0061306036,0.27740651,0.0013694112,0.050030537
7687,grown,0.1,16,b1,0.0019492766,0.27740651,0.00044267558,0.050030537
7687,grown,0.1,16,moments,0.00067532281,0.27740651,0.00029259457,0.050030537
7687,grown,0.1,16,diag,0.00063188731,0.27740651,0.00024785892,0.050030537
7850,grown,0.1,16,2b,0.0062256021,0.21953333,0.0013297339,0.062010991
7850,grown,0.1,16,b1,0.0020504271,0.21953333,0.00032094899,0.062010991
7850,grown,0.1,16,moments,0.00059523614,0.21953333,0.00035916677,0.062010991
7850,grown,0.1,16,diag,0.00041440002,0.21953333,0.00033643406,0.062010991
7491,grown,0.1,16,2b,0.0061617045,0.28650416,0.0020095833,0.058262264
7491,grown,0.1,16,b1,0.001781038,0.28650416,0.00096659165,0.058262264
7491,grown,0.1,16,moments,0.00067911797,0.28650416,0.00065965277,0.058262264
7491,grown,0.1,16,diag,0.00047585965,0.28650416,0.00045946308,0.058262264
7853,grown,0.1,16,2b,0.0063659909,0.31329471,0.0019214829,0.081038271
7853,grown,0.1,16,b1,0.0016842229,0.31329471,0.00050841472,0.081038271
7853,grown,0.1,16,moments,0.00078420204,0.31329471,0.00039616009,0.081038271
