sphere,lambda_mfs_fine,lambda_mfs_xfine,lambda_durlofsky,lambda_2b,lambda_b1_paper,lambda_moments,lambda_diag
0,0.6178731554,0.6178732124,0.617,0.6177487924,0.6176316718,0.6181824097,0.6181556137
1,0.5555536317,0.5555536822,0.5559,0.5554203149,0.5552346444,0.555908898,0.5559517542
2,0.5318842233,0.5318842702,0.5321,0.5317061096,0.5315393058,0.5324742243,0.532608953
3,0.518887236,0.5188872808,0.5183,0.5186996282,0.518540884,0.5194411311,0.5195693444
4,0.5109546356,0.5109546791,0.5102,0.5107659782,0.5106120522,0.5114849559,0.5116092712
5,0.5060948784,0.506094921,0.5054,0.5059068469,0.5057558352,0.5066122003,0.506734158
6,0.5034356866,0.5034357287,0.5029,0.5032483171,0.5030988882,0.5039462717,0.504066949
7,0.5025869977,0.5025870398,0.5018,0.5023998809,0.5022509554,0.5030954825,0.5032157526
8,0.5034356865,0.5034357287,0.5029,0.5032483171,0.5030988882,0.5039462717,0.504066949
9,0.5060948784,0.506094921,0.5054,0.5059068469,0.5057558352,0.5066122003,0.506734158
10,0.5109546356,0.5109546791,0.5102,0.5107659782,0.5106120522,0.5114849559,0.5116092712
11,0.518887236,0.5188872808,0.5183,0.5186996282,0.518540884,0.5194411311,0.5195693444
12,0.5318842232,0.5318842702,0.5321,0.5317061096,0.5315393058,0.5324742243,0.532608953
13,0.5555536311,0.5555536822,0.5559,0.5554203149,0.5552346444,0.555908898,0.5559517542
14,0.6178731502,0.617873213,0.617,0.6177487924,0.6176316718,0.6181824097,0.6181556137
