op,N,phi,mean,std,n,expected,metric
HIGNN_2b,20,0.025,2.2351,0.33165,10,10,prmse_lin
HIGNN_2b,20,0.05,3.255,0.48277,10,10,prmse_lin
HIGNN_2b,20,0.1,5.3297,0.67505,10,10,prmse_lin
HIGNN_2b,20,0.15,7.3707,0.62356,10,10,prmse_lin
HIGNN_2b,30,0.025,1.913,0.19412,10,10,prmse_lin
HIGNN_2b,30,0.05,3.0002,0.482,10,10,prmse_lin
HIGNN_2b,30,0.1,5.055,0.66757,10,10,prmse_lin
HIGNN_2b,30,0.15,6.7837,0.41028,10,10,prmse_lin
HIGNN_2b,40,0.025,1.8385,0.17792,10,10,prmse_lin
HIGNN_2b,40,0.05,2.7705,0.26387,10,10,prmse_lin
HIGNN_2b,40,0.1,4.6176,0.38552,10,10,prmse_lin
HIGNN_2b,40,0.15,7.0332,0.42209,10,10,prmse_lin
HIGNN_2b,50,0.025,1.6327,0.17519,10,10,prmse_lin
HIGNN_2b,50,0.05,2.7016,0.34646,10,10,prmse_lin
HIGNN_2b,50,0.1,4.9207,0.36939,10,10,prmse_lin
HIGNN_2b,50,0.15,6.687,0.28495,10,10,prmse_lin
HIGNN_2b,60,0.025,1.5373,0.25338,10,10,prmse_lin
HIGNN_2b,60,0.05,2.6694,0.16853,10,10,prmse_lin
HIGNN_2b,60,0.1,4.8181,0.33638,10,10,prmse_lin
HIGNN_2b,60,0.15,6.7212,0.42968,10,10,prmse_lin
HIGNN_2b,70,0.025,1.5223,0.16494,10,10,prmse_lin
HIGNN_2b,70,0.05,2.6399,0.23959,10,10,prmse_lin
HIGNN_2b,70,0.1,4.6651,0.2738,10,10,prmse_lin
HIGNN_2b,70,0.15,6.5269,0.27207,10,10,prmse_lin
HIGNN_2b,80,0.025,1.4482,0.18815,10,10,prmse_lin
HIGNN_2b,80,0.05,2.4966,0.17497,10,10,prmse_lin
HIGNN_2b,80,0.1,4.6141,0.27909,10,10,prmse_lin
HIGNN_2b,80,0.15,6.6218,0.37017,10,10,prmse_lin
HIGNN_2b,90,0.025,1.3878,0.12656,10,10,prmse_lin
HIGNN_2b,90,0.05,2.685,0.12675,10,10,prmse_lin
HIGNN_2b,90,0.1,4.6371,0.24847,10,10,prmse_lin
HIGNN_2b,90,0.15,6.5071,0.38934,10,10,prmse_lin
HIGNN_2b,100,0.025,1.3805,0.16639,10,10,prmse_lin
HIGNN_2b,100,0.05,2.3376,0.12247,10,10,prmse_lin
HIGNN_2b,100,0.1,4.4705,0.20719,10,10,prmse_lin
HIGNN_2b,100,0.15,6.3924,0.2912,10,10,prmse_lin
HIGNN_2b,120,0.025,1.3458,0.13546,10,10,prmse_lin
HIGNN_2b,120,0.05,2.4832,0.1532,10,10,prmse_lin
HIGNN_2b,120,0.1,4.552,0.22861,10,10,prmse_lin
HIGNN_2b,120,0.15,6.4104,0.2014,10,10,prmse_lin
HIGNN_2b,140,0.025,1.2853,0.10546,10,10,prmse_lin
HIGNN_2b,140,0.05,2.3341,0.14842,10,10,prmse_lin
HIGNN_2b,140,0.1,4.4381,0.14848,10,10,prmse_lin
HIGNN_2b,140,0.15,6.4245,0.25326,10,10,prmse_lin
HIGNN_2b,160,0.025,1.2346,0.12702,10,10,prmse_lin
HIGNN_2b,160,0.05,2.2365,0.13897,10,10,prmse_lin
HIGNN_2b,160,0.1,4.3657,0.1812,10,10,prmse_lin
HIGNN_2b,160,0.15,6.2593,0.23443,10,10,prmse_lin
HIGNN_2b,180,0.025,1.2404,0.061134,10,10,prmse_lin
HIGNN_2b,180,0.05,2.1654,0.098963,10,10,prmse_lin
HIGNN_2b,180,0.1,4.2393,0.12141,10,10,prmse_lin
HIGNN_2b,180,0.15,6.1867,0.16745,10,10,prmse_lin
HIGNN_2b,200,0.025,1.2268,0.078997,10,10,prmse_lin
HIGNN_2b,200,0.05,2.2045,0.087984,10,10,prmse_lin
HIGNN_2b,200,0.1,4.2201,0.16298,10,10,prmse_lin
HIGNN_2b,200,0.15,6.2411,0.14599,10,10,prmse_lin
HIGNN_2b,300,0.025,1.1311,0.0578,10,10,prmse_lin
HIGNN_2b,300,0.05,2.113,0.069055,10,10,prmse_lin
HIGNN_2b,300,0.1,4.026,0.14325,10,10,prmse_lin
HIGNN_2b,300,0.15,6.0251,0.10005,10,10,prmse_lin
HIGNN_2b,500,0.025,1.0304,0.033636,10,10,prmse_lin
HIGNN_2b,500,0.05,1.9789,0.05412,10,10,prmse_lin
HIGNN_2b,500,0.1,3.9886,0.12309,10,10,prmse_lin
HIGNN_2b,500,0.15,5.7353,0.078734,10,10,prmse_lin
HIGNN_2b,1000,0.025,0.96886,0.010205,5,5,prmse_lin
HIGNN_2b,1000,0.05,1.8739,0.031358,5,5,prmse_lin
HIGNN_2b,1000,0.1,3.7932,0.05077,5,5,prmse_lin
HIGNN_2b,1000,0.15,5.6475,0.11619,5,5,prmse_lin
HIGNN_2b,1500,0.025,0.92997,0.017233,5,5,prmse_lin
HIGNN_2b,1500,0.05,1.8183,0.0087628,5,5,prmse_lin
HIGNN_2b,1500,0.1,3.667,0.05115,5,5,prmse_lin
HIGNN_2b,1500,0.15,5.5625,0.033039,5,5,prmse_lin
HIGNN_2b,2000,0.025,0.9189,0.019176,3,3,prmse_lin
HIGNN_2b,2000,0.05,1.831,0.025698,3,3,prmse_lin
HIGNN_2b,2000,0.1,3.6094,0.051909,3,3,prmse_lin
HIGNN_2b,2000,0.15,5.506,0.022697,3,3,prmse_lin
HIGNN_2b,2500,0.025,0.92119,0.0052038,3,3,prmse_lin
HIGNN_2b,2500,0.05,1.785,0.016243,3,3,prmse_lin
HIGNN_2b,2500,0.1,3.5781,0.0085096,3,3,prmse_lin
HIGNN_2b,2500,0.15,5.4159,0.064884,3,3,prmse_lin
HIGNN_2b,3000,0.025,0.89092,0.0036481,3,3,prmse_lin
HIGNN_2b,3000,0.05,1.7609,0.037144,3,3,prmse_lin
HIGNN_2b,3000,0.1,3.5746,0.05516,3,3,prmse_lin
HIGNN_2b,3000,0.15,5.3758,0.022417,3,3,prmse_lin
HIGNN_2b,5000,0.025,0.88282,0.0064993,3,3,prmse_lin
HIGNN_2b,5000,0.05,1.7533,0.015089,3,3,prmse_lin
HIGNN_2b,5000,0.1,3.501,0.018767,3,3,prmse_lin
HIGNN_2b,5000,0.15,5.3325,0.0065123,3,3,prmse_lin
HIGNN_2b,7500,0.025,0.86748,0.011941,3,3,prmse_lin
HIGNN_2b,7500,0.05,1.7113,0.017401,3,3,prmse_lin
HIGNN_2b,7500,0.1,3.4922,0.023804,3,3,prmse_lin
HIGNN_2b,7500,0.15,5.2732,0.004645,3,3,prmse_lin
HIGNN_2b,10000,0.025,0.84759,0.0050941,3,3,prmse_lin
HIGNN_2b,10000,0.05,1.7121,0.0030322,3,3,prmse_lin
HIGNN_2b,10000,0.1,3.4433,0.0033676,3,3,prmse_lin
HIGNN_2b,10000,0.15,5.2678,0.01849,3,3,prmse_lin
HIGNN_2b,20000,0.1,3.4174,0.003365,2,2,prmse_lin
HIGNN_2b,30000,0.1,3.3974,0.004175,2,2,prmse_lin
HIGNN_full,20,0.025,1.2107,0.11971,10,10,prmse_lin
HIGNN_full,20,0.05,1.7178,0.43826,10,10,prmse_lin
HIGNN_full,20,0.1,1.9173,0.23511,10,10,prmse_lin
HIGNN_full,20,0.15,2.1415,0.26155,10,10,prmse_lin
HIGNN_full,30,0.025,1.1365,0.18928,10,10,prmse_lin
HIGNN_full,30,0.05,1.7815,0.1643,10,10,prmse_lin
HIGNN_full,30,0.1,2.7093,0.33981,10,10,prmse_lin
HIGNN_full,30,0.15,3.043,0.22054,10,10,prmse_lin
HIGNN_full,40,0.025,1.2259,0.17091,10,10,prmse_lin
HIGNN_full,40,0.05,1.9347,0.1876,10,10,prmse_lin
HIGNN_full,40,0.1,3.0448,0.24601,10,10,prmse_lin
HIGNN_full,40,0.15,3.8862,0.30049,10,10,prmse_lin
HIGNN_full,50,0.025,1.1004,0.12038,10,10,prmse_lin
HIGNN_full,50,0.05,1.9357,0.24432,10,10,prmse_lin
HIGNN_full,50,0.1,3.4774,0.32711,10,10,prmse_lin
HIGNN_full,50,0.15,4.1486,0.28309,10,10,prmse_lin
HIGNN_full,60,0.025,1.1057,0.2034,10,10,prmse_lin
HIGNN_full,60,0.05,1.9479,0.079791,10,10,prmse_lin
