op,table,P,S_over_R,M_par,M_perp,M_o,N_tz,N_zt,res_par,res_perp,Rc,M_par_ref,M_par_relerr,M_perp_ref,M_perp_relerr,M_o_ref,M_o_relerr,N_tz_ref,N_tz_relerr,N_zt_ref,N_zt_relerr
rpy,B10,3,0.1,2.017438721520355,1.8222654141021488,-0.09758665370910273,-0.29456646387225804,0.29456646387225816,2.7977574272913506e-16,9.702399017824596e-17,1.2124355652982142,1.90508,0.058978479392127754,1.77827,0.02474057038703279,-0.02784,2.505267733803977,-0.2097,0.4047041672496807,0.17773,0.6573817806349977
rpy,B10,3,0.2,1.9757700976709243,1.775732531930879,-0.10001878287002255,-0.26839630282575566,0.2683963028257558,1.8950942267355685e-16,4.3022497392083305e-17,1.2701705922171769,1.87988,0.051008626971362145,1.74703,0.016429329737256318,-0.04235,1.3617186037785727,-0.21541,0.24597884418437246,0.18439,0.4555903401798133
rpy,B10,3,0.5,1.8680000000000005,1.664,-0.10199999999999988,-0.20784609690826528,0.20784609690826528,2.815651327348376e-16,3.658803123748871e-17,1.4433756729740645,1.80381,0.035585787860140834,1.65357,0.006307564844548425,-0.06475,0.5752895752895735,-0.19041,0.09157132980550013,0.16643,0.24884994837628602
rpy,B10,3,1,1.7314814814814818,1.537037037037037,-0.0972222222222222,-0.14433756729740643,0.14433756729740646,1.5303599563448312e-16,1.0093299908465746e-16,1.7320508075688774,1.6961,0.020860492589754084,1.53416,0.0018753174616969622,-0.07683,0.2654200471459352,-0.14019,0.02958532917759058,0.12721,0.13464010138673432
rpy,B10,3,2,1.5546875000000004,1.3906249999999998,-0.08203124999999994,-0.08118988160479111,0.08118988160479113,2.9212550802989424e-16,1.100103660660751e-16,2.3094010767585034,1.5421,0.008162570520718771,1.39019,0.00031290686884507954,-0.07471,0.0979955829206257,-0.0807,0.00607040402467308,0.07681,0.05702228361920482
rpy,B10,3,5,1.31997084548105,1.217201166180758,-0.05138483965014573,-0.02651098174850322,0.02651098174850322,2.8084342614706407e-16,9.052491817174445e-18,4.041451884327381,1.31853,0.0010927665514246518,1.21719,9.17373685129401e-06,-0.05053,0.01691746784377067,-0.0265,0.00041440560389514696,0.02623,0.01071222830740453
rpy,B10,3,10,1.1872106481481486,1.125578703703704,-0.030815972222222213,-0.009021097956087902,0.009021097956087904,4.4064431569142944e-16,1.1621827834221446e-16,6.92820323027551,1.18704,0.00014375939155250787,1.12558,1.1516696246226336e-06,-0.03072,0.003124095775462649,-0.00902,0.00012172462171860398,0.009,0.002344217343100496
rpy,B10,3,1000,1.0022455084850241,1.001497006982048,-0.00037425075148803566,-1.2938575002456745e-06,1.293857500245675e-06,2.6114522107993854e-16,4.942902913299305e-22,578.504969728005,1.00225,4.481431754498509e-06,1.0015,2.9885351494223257e-06,-0.00037,0.011488517535231533,0.0,,0.0,
rpy,B10,4,0.1,2.3867017784810973,2.0938918447328736,-0.09763662633001811,-0.3255465242131113,0.3255465242131113,1.1210284115317175e-16,1.541292623299403e-16,1.48492424049175,2.24243,0.06433724953782155,2.05466,0.01909408112917633,-0.02645,2.6913658347832934,-0.25621,0.2706238016201995,0.17821,0.826757893570009
rpy,B10,4,0.2,2.329057858368936,2.033393530334692,-0.09562676229419864,-0.2966240024338473,0.29662400243384734,2.007379395091008e-17,2.6386180653701323e-17,1.5556349186104048,2.206,0.05578325402036996,2.00837,0.012459621650737529,-0.03828,1.4980867892946352,-0.25416,0.1670758673034596,0.19188,0.545882856128035
rpy,B10,4,0.5,2.180541197284454,1.887445742854949,-0.08909545442950498,-0.22970562748477136,0.22970562748477136,8.600355652239645e-17,1.218073594087979e-16,1.7677669529663689,2.0979,0.03939234343126643,1.87879,0.004607083737378295,-0.05305,0.6794619119605085,-0.21603,0.06330429794367151,0.18135,0.2666425557472917
rpy,B10,4,1,1.9933728819209433,1.7203610173446602,-0.07856742013183864,-0.15951779686442455,0.15951779686442455,6.679700798249487e-17,1.3721925104736959e-17,2.121320343559643,1.94707,0.023780799827917448,1.71813,0.0012985148648008281,-0.05866,0.33936958970062464,-0.15631,0.02052201947683798,0.14134,0.12861042071900775
rpy,B10,4,2,1.7521802142767116,1.5259696573364878,-0.062148056940223906,-0.08972876073623881,0.08972876073623881,2.2548667786439552e-17,1.2981470567552509e-17,2.8284271247461903,1.73525,0.009756642718174094,1.52566,0.0002029661500516503,-0.05469,0.13636966429372652,-0.08936,0.004126686842421841,0.08554,0.048968444426453185
rpy,B10,4,5,1.4333553147675224,1.2934779909734762,-0.03710764449375468,-0.029299187179180026,0.029299187179180026,1.293875303457576e-16,1.4301745226566985e-16,4.949747468305833,1.43137,0.0013870031980007928,1.29347,6.177934916354708e-06,-0.03619,0.025356299910325456,-0.02929,0.0003136626555147068,0.02905,0.008577871916696261
rpy,B10,4,10,1.2534507582202388,1.1698751788561594,-0.021943634919634657,-0.009969862304026534,0.009969862304026534,1.8097876965863512e-16,1.2665383113310752e-18,8.485281374238571,1.25322,0.00018413225151112274,1.16987,4.4268646597239215e-06,-0.02183,0.005205447532508381,-0.00997,1.3811030437850652e-05,0.00995,0.001996211459953147
rpy,B10,4,1000,1.0030394157113702,1.0020262787005725,-0.00026463550782176174,-1.4299347131882153e-06,1.4299347131882153e-06,1.035287065887824e-19,1.8211812268823084e-22,708.5209947489207,1.00304,5.825177756633739e-07,1.00203,3.713760493692688e-06,-0.00026,0.017828876237545227,0.0,,0.0,
rpy,B10,5,0.1,2.6668727205076053,2.2892088125559162,-0.08732612830468675,-0.3234886109847461,0.3234886109847461,1.7627119456831139e-16,9.176849746805644e-17,1.786366697539284,2.51123,0.06197867997260523,2.25601,0.01471572047815231,-0.0257,2.3979038250850877,-0.27513,0.1757664049167526,0.17193,0.881513470509778
rpy,B10,5,0.2,2.596765228093206,2.219289513131482,-0.08173547084370623,-0.294748920339407,0.294748920339407,9.604744654998346e-17,9.63861435059766e-17,1.871431778374488,2.46383,0.05395470795193089,2.19789,0.009736389506063505,-0.03581,1.2824761475483448,-0.26633,0.10670566717758781,0.18715,0.5749341188319902
rpy,B10,5,0.5,2.416676414594912,2.0499287438099234,-0.06862616460750562,-0.22825356391083682,0.22825356391083684,1.8355156232957582e-17,1.0133965110590149e-16,2.1266270208801,2.32716,0.03846594759058762,2.04229,0.003740283608069111,-0.04449,0.5425076333446981,-0.21971,0.03888563975620967,0.17928,0.2731680271688802
rpy,B10,5,1,2.1906353438309436,1.8547972898379028,-0.05430319522570169,-0.1585094193825256,0.1585094193825256,7.994942788273347e-17,9.19034613930306e-17,2.5519524250561196,2.14,0.023661375621936206,1.85276,0.0010995972699663506,-0.04292,0.2652189008784178,-0.15664,0.01193449554727787,0.14063,0.1271380173684534
rpy,B10,5,2,1.9004873375975988,1.626076307929645,-0.038575735166023035,-0.08916154840267067,0.08916154840267067,8.84514433978265e-17,8.766545538853466e-18,3.4026032334081595,1.88156,0.010059385614914701,1.62578,0.00018225585850789637,-0.03466,0.11297562510164547,-0.08896,0.002265607044409515,0.08523,0.046128691806531355
rpy,B10,5,5,1.5182805051630497,1.3503252657452394,-0.02097864851266919,-0.029113974988627146,0.029113974988627143,1.1066144317900743e-16,5.721897854765579e-18,5.95455565846428,1.516,0.00150429100465018,1.35032,3.899627672997708e-06,-0.0205,0.02334870793508244,-0.02911,0.00013655062271198092,0.02889,0.007752682195470535
