exp,op,phi,mean,std,n,metric
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.025,1.8608,0.30787,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.05,2.8373,0.34218,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.075,3.8508,0.74842,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.1,4.4352,1.051,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.125,5.8588,1.3603,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.15,6.3679,1.7135,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.175,9.1648,2.7849,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.2,8.1911,2.7748,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.73817,0.15695,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,0.83089,0.064285,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,1.2806,0.25096,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,1.5495,0.26714,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,2.2883,0.59526,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,2.4873,0.56617,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,3.3369,0.83524,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,3.4933,1.222,10,prmse_lin
fig4,M_rpy,0.025,4.7693,0.78967,10,prmse_lin
fig4,M_rpy,0.05,6.9866,0.63052,10,prmse_lin
fig4,M_rpy,0.075,10.441,2.129,10,prmse_lin
fig4,M_rpy,0.1,12.594,2.2663,10,prmse_lin
fig4,M_rpy,0.125,17.482,3.7606,10,prmse_lin
fig4,M_rpy,0.15,19.062,4.8305,10,prmse_lin
fig4,M_rpy,0.175,25.924,6.5147,10,prmse_lin
fig4,M_rpy,0.2,24.503,7.915,10,prmse_lin
fig4,SD,0.025,1.4934,0.32596,10,prmse_lin
fig4,SD,0.05,3.5207,0.63505,10,prmse_lin
fig4,SD,0.075,6.5487,1.6589,10,prmse_lin
fig4,SD,0.1,9.3954,0.81803,10,prmse_lin
fig4,SD,0.125,11.135,1.695,10,prmse_lin
fig4,SD,0.15,14.747,3.0092,10,prmse_lin
fig4,SD,0.175,16.336,3.6812,10,prmse_lin
fig4,SD,0.2,19.883,3.9099,10,prmse_lin
fig4,SD_Minf,0.025,1.4408,0.28405,10,prmse_lin
fig4,SD_Minf,0.05,1.6064,0.12772,10,prmse_lin
fig4,SD_Minf,0.075,2.1915,0.58495,10,prmse_lin
fig4,SD_Minf,0.1,2.5852,0.40664,10,prmse_lin
fig4,SD_Minf,0.125,3.6267,0.95286,10,prmse_lin
fig4,SD_Minf,0.15,3.9009,0.96991,10,prmse_lin
fig4,SD_Minf,0.175,5.2419,1.1929,10,prmse_lin
fig4,SD_Minf,0.2,5.4878,1.8979,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.025,0.65784,0.046409,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.05,1.0834,0.072737,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.075,1.5029,0.088334,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.1,1.7253,0.061224,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.125,2.1147,0.079948,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.15,2.4273,0.13431,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.175,2.7395,0.12097,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.2,3.1909,0.15435,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.10279,0.016662,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,0.16802,0.021826,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,0.2432,0.013658,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,0.30727,0.025262,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,0.36565,0.016343,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,0.44988,0.02499,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,0.51283,0.018507,10,prmse_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,0.57292,0.043093,10,prmse_lin
fig4g,M_rpy,0.025,1.127,0.072325,10,prmse_lin
fig4g,M_rpy,0.05,2.0734,0.085193,10,prmse_lin
fig4g,M_rpy,0.075,3.2129,0.11738,10,prmse_lin
fig4g,M_rpy,0.1,4.0163,0.15805,10,prmse_lin
fig4g,M_rpy,0.125,5.0784,0.14691,10,prmse_lin
fig4g,M_rpy,0.15,5.9651,0.14514,10,prmse_lin
fig4g,M_rpy,0.175,6.8526,0.19664,10,prmse_lin
fig4g,M_rpy,0.2,7.7353,0.25853,10,prmse_lin
fig4g,SD,0.025,2.158,0.22326,10,prmse_lin
fig4g,SD,0.05,4.8815,0.34785,10,prmse_lin
fig4g,SD,0.075,8.8105,0.25762,10,prmse_lin
fig4g,SD,0.1,11.872,0.48945,10,prmse_lin
fig4g,SD,0.125,15.254,0.3934,10,prmse_lin
fig4g,SD,0.15,18.913,0.37563,10,prmse_lin
fig4g,SD,0.175,22.127,0.46622,10,prmse_lin
fig4g,SD,0.2,25.178,0.42832,10,prmse_lin
fig4g,SD_Minf,0.025,0.075859,0.0090076,10,prmse_lin
fig4g,SD_Minf,0.05,0.13269,0.020987,10,prmse_lin
fig4g,SD_Minf,0.075,0.21389,0.016079,10,prmse_lin
fig4g,SD_Minf,0.1,0.27268,0.024412,10,prmse_lin
fig4g,SD_Minf,0.125,0.36777,0.022183,10,prmse_lin
fig4g,SD_Minf,0.15,0.50126,0.033368,10,prmse_lin
fig4g,SD_Minf,0.175,0.6198,0.04669,10,prmse_lin
fig4g,SD_Minf,0.2,0.76873,0.054092,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.88941,0.14488,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,1.2077,0.21258,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,1.9311,0.39395,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,2.545,0.22733,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,3.3325,0.34328,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,4.0464,0.39758,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,4.9337,0.43069,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,6.0847,0.74634,10,prmse_fluct
fig4,SD,0.025,0.87418,0.17056,10,prmse_fluct
